Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,1006.69,1255.07,50.35,22.79,0.04,12.59,0.04,1136948710000,1575.62,56.51,345.72,1372.09,72.6,55.91,0.06,2.18,0.44,79.18,1.28,41.59,3.7,6/24/2026 4:30:00 PM,91.9
Investment Master,NVDA,Technology,196.35,236.54,42.81,30.07,0.33,18.74,0.22,4751621770000,313.39,59.61,85.23,213.42,74.15,62.97,0.07,2.23,3.85,70.42,1.26,299.67,1.29,5/20/2026 4:30:00 PM,88.9
Investment Master,CDE,Basic Materials,16.96,27.78,48.58,14.02,0.29,6.81,0.05,17472580000,27.27,60.79,137.76,451.88,43.69,31.16,0.07,1.31,0.59,77.06,1.25,43.97,4.29,5/6/2026 4:30:00 PM,86.9
Investment Master,ONDS,Technology,7.72,15.27,38.15,38.59,,41.84,0.04,4041440000,20.12,160.62,1079.85,496.37,31.18,140.68,0.02,2.72,2.07,39.19,1.0,167.52,32.7,5/14/2026 8:30:00 AM,85.9
Investment Master,PLTR,Technology,132.87,207.51,54.56,149.69,1.07,60.97,0.72,318520080000,190.3,43.22,84.71,304.06,84.07,43.67,0.03,1.58,8.51,57.88,1.97,76.44,3.49,5/4/2026 4:30:00 PM,85.7
Investment Master,AU,Basic Materials,84.34,129.14,46.3,12.37,0.35,3.81,0.06,42594700000,130.21,54.39,64.85,188.38,56.04,31.11,0.27,0.66,0.22,66.04,1.57,4.12,0.82,5/8/2026 8:30:00 AM,82.2
Investment Master,CRDO,Technology,273.89,308.68,57.3,110.45,0.69,38.25,0.24,51074440000,280.14,2.28,157.02,336.83,68.01,35.37,0.01,3.22,10.24,74.66,1.14,9.47,5.66,6/1/2026 4:30:00 PM,81.8
Investment Master,RDDT,Communication Services,205.11,282.95,66.08,58.16,0.66,15.96,0.23,39485430000,227.87,11.1,69.08,609.3,90.72,28.6,0.01,1.9,28.78,65.58,1.79,16.47,12.01,4/30/2026 4:30:00 PM,79.7
Investment Master,EBC,Financial,22.69,22.89,71.99,12.69,0.57,3.73,0.0,5244910000,23.94,5.51,1206.82,126.85,,26.37,0.19,0.69,7.71,74.19,1.25,9.74,4.56,7/23/2026 4:30:00 PM,79.2
Investment Master,IONQ,Technology,50.92,84.64,43.98,,,101.58,0.13,19007130000,71.32,40.06,754.72,1570.07,-28.8,164.87,0.01,3.26,1.66,55.44,1.64,50.49,13.75,5/6/2026 4:30:00 PM,78.9
Investment Master,AVGO,Technology,373.77,494.99,44.68,62.22,0.34,23.56,0.49,1778240660000,525.71,40.65,47.87,85.59,65.66,38.85,0.74,1.47,1.94,79.91,1.31,61.48,1.32,6/3/2026 4:30:00 PM,78.5
Investment Master,HL,Basic Materials,16.52,34.18,53.26,23.74,0.42,7.05,0.12,11077080000,25.19,52.48,56.55,466.67,48.39,29.65,0.11,1.3,0.83,73.57,2.0,39.41,5.93,5/5/2026 4:30:00 PM,78.2
Investment Master,TER,Technology,394.69,487.93,47.98,73.05,0.75,16.32,0.19,61785630000,430.2,9.0,86.84,314.51,58.52,22.56,0.03,1.78,0.69,96.18,1.86,8.85,5.69,4/28/2026 4:30:00 PM,78.1
Investment Master,NEM,Basic Materials,96.85,134.89,43.66,12.56,0.42,4.24,0.09,103391520000,140.05,44.61,47.46,78.85,55.12,34.64,0.16,0.48,0.11,81.72,1.59,19.7,1.85,7/23/2026 4:30:00 PM,77.5
Investment Master,LITE,Technology,738.39,1085.71,38.86,137.04,0.28,23.09,0.26,57446750000,1132.81,53.42,90.12,332.76,35.36,17.61,1.11,1.51,2.56,103.93,1.47,9.29,12.26,5/5/2026 4:30:00 PM,77.3
Investment Master,EQT,Energy,52.19,68.25,44.22,9.89,0.57,3.42,0.07,32640570000,69.46,33.09,49.54,488.4,49.33,34.39,0.24,0.57,1.09,93.87,1.68,21.48,3.47,7/21/2026 4:30:00 PM,76.9
Investment Master,META,Communication Services,591.58,796.2,51.87,21.51,0.87,6.99,0.21,1501667690000,821.0,38.78,33.08,62.49,81.94,32.84,0.36,1.24,13.7,68.48,1.26,29.99,1.37,4/29/2026 4:30:00 PM,75.5
Investment Master,STRL,Industrials,730.0,1005.65,42.07,65.26,0.79,7.77,0.08,22400740000,956.43,31.02,91.59,141.86,22.43,12.02,0.29,1.87,2.43,93.15,1.22,1.7,5.67,5/4/2026 4:30:00 PM,75.5
Investment Master,EXE,Energy,89.53,126.62,46.53,6.67,0.6,1.66,0.04,21419040000,129.58,44.73,40.78,553.24,50.24,25.03,0.26,0.33,0.47,93.24,1.48,7.6,3.19,4/28/2026 4:30:00 PM,75.3
Investment Master,ADSK,Technology,206.81,329.11,48.09,30.22,0.9,5.8,0.3,43636850000,317.64,53.59,19.63,229.12,85.68,19.46,0.85,1.3,0.37,94.94,1.31,7.47,3.55,5/28/2026 4:30:00 PM,73.9
Investment Master,WDC,Technology,581.38,799.92,49.12,34.7,0.41,17.02,0.37,200391300000,608.35,4.64,45.47,483.37,45.4,54.28,0.18,2.15,0.93,98.97,1.73,26.45,7.75,4/30/2026 4:30:00 PM,73.5
Investment Master,PODD,Healthcare,157.63,354.86,52.94,36.69,0.73,3.76,0.11,10918190000,236.35,49.94,33.87,158.51,71.64,10.44,0.73,1.1,0.43,105.55,1.43,4.9,7.11,5/6/2026 8:30:00 AM,72.5
Investment Master,NBIS,Technology,220.32,299.88,44.8,73.51,,63.15,0.1,55443630000,257.79,17.01,621.52,521.4,7.48,95.27,1.31,4.4,19.73,50.42,1.94,50.93,25.21,5/13/2026 8:30:00 AM,72.5
Investment Master,ICE,Financial,133.39,189.34,45.4,19.42,1.26,5.84,0.25,75435860000,193.27,44.89,23.56,79.47,68.69,30.41,0.71,0.94,0.61,95.52,1.25,10.41,1.85,7/30/2026 8:30:00 AM,72.4
Investment Master,ALAB,Technology,441.25,499.49,60.3,297.42,2.11,75.53,0.81,75633760000,285.92,-35.2,93.4,148.21,75.99,26.72,0.03,3.76,18.28,71.46,1.84,11.51,8.22,5/5/2026 4:30:00 PM,72.3
Investment Master,NBIX,Healthcare,172.98,174.39,65.72,26.59,0.46,5.61,0.13,17392630000,195.26,12.88,42.25,2382.36,98.17,21.55,0.12,0.39,1.74,101.5,1.41,5.69,5.76,5/5/2026 4:30:00 PM,72.1
Investment Master,BSX,Healthcare,44.22,109.51,37.29,18.54,1.13,3.19,0.28,65719190000,73.77,66.82,11.58,98.72,65.44,17.29,0.43,0.57,0.51,93.71,1.42,29.75,2.01,7/29/2026 8:30:00 AM,71.6
Investment Master,ADMA,Healthcare,9.05,20.47,59.98,13.34,0.32,4.11,,2096389999,17.75,96.13,-0.27,71.73,61.24,32.43,0.52,0.73,2.83,91.94,1.75,21.28,9.45,5/6/2026 4:30:00 PM,71.1
Investment Master,TW,Financial,102.24,147.49,53.01,25.23,1.46,11.17,0.53,24130120000,134.79,31.84,21.21,39.44,88.51,40.23,0.02,0.61,45.73,56.87,2.0,3.07,2.65,7/30/2026 8:30:00 AM,71.1
Investment Master,AVPT,Technology,11.74,19.94,66.93,57.91,1.05,5.61,0.22,2490140000,16.1,37.14,25.98,340.52,73.59,10.51,0.05,1.17,33.48,54.05,1.6,12.38,8.78,5/7/2026 4:30:00 PM,70.4
Investment Master,ESTC,Technology,58.17,96.07,50.67,16.62,0.65,3.48,0.22,6046470000,75.67,30.08,16.03,2754.97,76.07,21.14,0.46,1.0,13.9,87.22,1.94,6.29,7.03,5/28/2026 4:30:00 PM,70.4
Investment Master,HAPN,Financial,19.54,21.67,58.01,13.08,0.2,1.44,0.05,2254080000,23.75,21.55,29.5,337.61,74.25,11.21,0.04,1.91,3.26,89.77,1.0,6.27,5.62,4/27/2026 4:30:00 PM,70.3
