Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,938.37,1255.01,48.56,21.24,0.04,11.74,0.03,1059788570000,1568.74,67.18,345.72,1372.09,72.6,55.91,0.06,2.2,0.44,78.11,1.31,36.21,3.22,6/24/2026 4:30:00 PM,92.9
Investment Master,CRDO,Technology,218.14,308.67,45.39,87.97,0.51,30.47,0.19,40678290000,290.14,33.01,157.02,336.83,68.01,35.37,0.01,3.25,9.94,74.65,1.15,6.01,3.58,6/1/2026 4:30:00 PM,87.7
Investment Master,NVDA,Technology,208.3,236.54,52.43,31.9,0.35,19.89,0.23,5040823520000,314.29,50.88,85.23,213.42,74.15,62.97,0.07,2.22,3.85,69.29,1.23,324.05,1.39,5/20/2026 4:30:00 PM,86.7
Investment Master,PLTR,Technology,125.6,207.53,45.81,141.51,1.01,57.64,0.68,301102420000,189.04,50.51,84.71,304.06,84.07,43.67,0.03,1.58,8.5,56.84,1.94,77.88,3.55,8/3/2026 4:30:00 PM,86.6
Investment Master,CDE,Basic Materials,15.45,27.77,46.39,12.77,0.26,6.21,0.05,15924020000,24.84,60.78,137.76,451.88,43.69,31.16,0.07,1.33,0.59,77.36,1.42,55.84,5.45,8/5/2026 4:30:00 PM,86.5
Investment Master,ONDS,Technology,8.01,15.28,50.64,40.01,,47.25,0.04,4564350000,19.81,147.32,1079.85,496.37,31.18,140.68,0.02,2.71,8.25,36.21,1.0,229.56,43.91,5/14/2026 8:30:00 AM,85.9
Investment Master,IONQ,Technology,34.34,84.64,30.78,,,68.5,0.09,12818080000,70.38,104.95,754.72,1570.07,-28.8,164.87,0.01,3.32,1.66,55.59,1.6,47.05,12.82,8/5/2026 4:30:00 PM,84.6
Investment Master,RDDT,Communication Services,172.42,282.93,44.58,48.89,0.55,13.42,0.19,33192890000,230.23,33.53,69.08,609.3,90.72,28.6,0.01,1.97,28.78,65.94,1.77,16.99,12.39,7/30/2026 4:30:00 PM,81.8
Investment Master,AU,Basic Materials,80.32,129.13,47.43,11.78,0.34,3.63,0.06,40562200000,120.33,49.81,64.85,188.38,56.04,31.11,0.27,0.67,0.22,65.45,1.67,5.62,1.11,7/31/2026 8:30:00 AM,81.6
Investment Master,TER,Technology,355.03,487.88,46.72,65.71,0.63,14.68,0.17,55577160000,437.53,23.24,86.84,314.51,58.52,22.56,0.03,1.8,0.68,94.38,1.86,7.3,4.69,7/28/2026 4:30:00 PM,80.1
Investment Master,ALAB,Technology,297.0,499.5,39.51,200.19,1.31,50.83,0.54,50908160000,311.63,4.93,93.4,148.21,75.99,26.72,0.03,3.96,18.17,71.65,1.88,9.53,6.79,8/4/2026 4:30:00 PM,79.8
Investment Master,HL,Basic Materials,15.41,34.17,49.16,22.15,0.43,6.58,0.12,10337220000,23.53,52.69,56.55,466.67,48.39,29.65,0.11,1.31,0.83,73.43,1.91,41.15,6.19,8/4/2026 4:30:00 PM,78.2
Investment Master,AVGO,Technology,389.01,494.99,50.6,64.76,0.35,24.52,0.51,1850751940000,528.6,35.88,47.87,85.59,65.66,38.85,0.74,1.47,1.91,78.84,1.32,68.64,1.47,6/3/2026 4:30:00 PM,78.0
Investment Master,CBRS,Technology,203.19,386.37,48.35,176.06,,93.28,0.99,56332500000,292.0,43.71,94.35,44.27,41.98,41.02,0.49,,71.5,4.77,1.42,10.42,13.02,8/12/2026 4:30:00 PM,76.8
Investment Master,STRL,Industrials,675.8,1005.65,43.99,60.42,0.73,7.19,0.08,20737560000,956.43,41.53,91.59,141.86,22.43,12.02,0.29,1.89,2.44,92.46,1.3,1.28,4.28,8/3/2026 4:30:00 PM,76.7
Investment Master,LITE,Technology,776.0,1085.62,47.26,144.02,0.29,24.26,0.27,60372800000,1122.3,44.63,90.12,332.76,35.36,17.61,1.11,1.51,2.57,98.62,1.45,8.78,11.59,8/11/2026 4:30:00 PM,76.6
Investment Master,WDC,Technology,531.0,799.82,47.21,31.7,0.35,15.54,0.34,183026260000,648.57,22.14,45.47,483.37,45.4,54.28,0.18,2.17,0.94,98.49,1.7,23.26,6.81,8/5/2026 4:30:00 PM,75.4
Investment Master,META,Communication Services,605.77,796.23,46.79,22.02,0.85,7.15,0.22,1537700630000,822.55,35.79,33.08,62.49,81.94,32.84,0.36,1.23,13.7,67.46,1.28,37.85,1.73,7/29/2026 4:30:00 PM,75.1
Investment Master,BEAM,Healthcare,25.65,38.26,34.03,,,16.09,0.05,2638840000,50.92,98.52,324.87,26.46,86.36,-39.66,0.22,2.25,9.43,96.38,1.27,23.22,24.91,5/7/2026 8:30:00 AM,74.9
Investment Master,GOOG,Communication Services,323.99,404.48,36.23,16.28,1.22,8.85,0.37,3948524590000,429.77,32.65,23.98,294.02,60.94,54.7,0.18,1.25,58.15,27.15,1.31,55.65,1.09,7/22/2026 4:30:00 PM,74.7
Investment Master,GOOGL,Communication Services,324.6,408.61,35.87,16.31,1.22,8.85,0.37,3947967810000,430.05,32.49,23.98,294.02,60.94,54.7,0.18,1.26,52.09,38.68,1.31,78.67,1.35,7/22/2026 4:30:00 PM,74.7
Investment Master,TSM,Technology,408.13,479.03,44.37,29.46,0.5,14.82,0.45,2116758109999,537.7,31.75,32.92,73.33,63.38,50.31,0.15,1.4,0.09,15.19,1.2,33.35,0.64,7/16/2026 8:30:00 AM,74.3
Investment Master,EXE,Energy,92.95,126.62,59.62,6.93,0.84,1.72,0.04,22236100000,126.15,35.72,40.78,553.24,50.24,25.03,0.26,0.33,0.47,91.94,1.48,8.47,3.56,7/28/2026 4:30:00 PM,74.0
Investment Master,NBIS,Technology,197.15,299.85,45.36,65.78,,56.51,0.09,49612880000,270.8,37.36,621.52,521.4,7.48,95.27,1.31,4.54,19.71,50.69,1.78,61.07,30.22,5/13/2026 8:30:00 AM,73.7
Investment Master,HAPN,Financial,18.0,21.67,40.83,12.05,0.17,1.33,0.05,2076320000,24.11,33.94,29.5,337.61,74.25,11.21,0.04,1.93,3.17,89.55,1.0,5.25,4.7,7/27/2026 4:30:00 PM,73.5
Investment Master,ADSK,Technology,213.2,329.11,52.91,31.15,0.93,5.98,0.3,44985200000,314.28,47.41,19.63,229.12,85.68,19.46,0.85,1.29,0.37,93.88,1.31,8.73,4.15,5/28/2026 4:30:00 PM,73.1
Investment Master,NBIX,Healthcare,178.29,181.19,61.32,27.41,0.46,5.78,0.14,17927050000,201.2,12.85,42.25,2382.36,98.17,21.55,0.12,0.39,1.75,102.12,1.42,5.33,5.4,7/30/2026 4:30:00 PM,72.4
Investment Master,ADI,Technology,377.51,445.91,44.38,56.1,0.82,14.43,0.39,183880230000,462.57,22.53,37.25,109.73,58.62,26.01,0.26,1.2,0.28,90.17,1.53,10.46,2.15,8/19/2026 8:30:00 AM,71.7
Investment Master,PODD,Healthcare,165.33,354.86,57.05,38.48,0.77,3.95,0.12,11451670000,234.95,42.11,33.87,158.51,71.64,10.44,0.73,1.09,0.43,103.81,1.48,4.65,6.74,8/5/2026 8:30:00 AM,71.7
Investment Master,ADMA,Healthcare,8.36,20.46,41.36,12.33,0.31,3.8,,1937620000,17.0,103.35,-0.27,71.73,61.24,32.43,0.52,0.74,2.83,91.62,1.75,24.03,10.67,5/6/2026 4:30:00 PM,71.2
Investment Master,BE,Industrials,193.12,351.26,38.45,,0.38,22.43,0.17,54931800000,292.83,51.63,130.37,313.73,31.08,0.25,3.2,3.84,6.31,86.12,2.33,19.19,7.2,7/28/2026 4:30:00 PM,71.1
Investment Master,AVAV,Industrials,151.3,417.84,47.46,,1.66,3.87,0.03,7657000000,226.42,49.65,133.27,112.23,18.93,-13.41,0.19,1.41,25.08,63.23,1.35,3.84,10.13,6/29/2026 4:30:00 PM,71.0
Investment Master,BSX,Healthcare,44.85,109.5,48.97,18.81,1.17,3.23,0.28,66663020000,71.16,58.66,11.58,98.72,65.44,17.29,0.43,0.56,0.5,91.51,1.39,28.28,1.91,7/29/2026 8:30:00 AM,70.9
Investment Master,ABCL,Healthcare,5.47,8.44,40.58,,,21.09,0.22,1670400000,10.5,91.96,96.34,7.05,61.02,-181.75,0.15,1.23,23.04,42.1,1.0,45.11,19.19,8/5/2026 4:30:00 PM,70.6
Investment Master,ICE,Financial,148.01,189.34,65.76,21.55,1.46,6.47,0.27,83701060000,181.8,22.83,23.56,79.47,68.69,30.41,0.71,0.91,0.61,94.16,1.25,9.06,1.61,7/30/2026 8:30:00 AM,70.1
Investment Master,CIEN,Technology,394.01,637.56,40.53,131.15,0.54,10.01,0.25,55773280000,588.75,49.43,39.51,2309.37,40.49,7.87,0.55,1.32,1.09,96.26,1.91,3.99,2.85,6/4/2026 8:30:00 AM,69.9
Investment Master,UUUU,Energy,11.56,27.9,34.17,,,34.05,0.3,2889070000,26.53,129.5,112.08,64.53,24.76,-82.7,0.94,1.56,1.62,67.55,1.22,48.99,19.93,8/6/2026 8:30:00 AM,69.9
Investment Master,AR,Energy,34.5,45.75,49.31,11.18,0.18,1.86,0.05,10689340000,49.24,42.72,34.1,160.16,25.84,16.69,0.59,0.34,4.58,88.73,1.6,11.86,4.01,7/29/2026 4:30:00 PM,69.7
Investment Master,ESTC,Technology,59.88,96.07,50.82,17.11,0.69,3.58,0.22,6224620000,75.28,25.72,16.03,2754.97,76.07,21.14,0.46,0.99,13.84,87.07,1.97,7.08,7.91,5/28/2026 4:30:00 PM,69.7
Investment Master,MSFT,Technology,388.8,555.43,49.12,23.16,1.07,9.07,0.5,2888160540000,555.3,42.82,18.3,23.32,68.31,39.34,0.3,1.12,1.54,74.84,1.23,92.37,1.26,7/29/2026 4:30:00 PM,69.7
Investment Master,CNX,Energy,33.76,43.62,51.35,4.7,0.34,2.06,0.07,4776290000,38.75,14.78,28.26,262.79,50.03,50.93,0.55,0.6,4.03,98.15,3.2,15.16,11.16,7/30/2026 8:30:00 AM,69.6
Investment Master,P,Technology,75.67,100.58,52.05,115.03,1.22,6.39,0.18,25153080000,93.89,24.08,35.25,263.4,70.23,5.75,0.16,1.46,5.37,84.13,1.86,10.45,3.32,5/27/2026 4:30:00 PM,69.6
Investment Master,AVPT,Technology,12.5,19.95,56.89,61.65,1.12,5.97,0.23,2650740000,16.17,29.36,25.98,340.52,73.59,10.51,0.05,1.15,33.47,53.99,1.6,12.45,8.83,8/6/2026 4:30:00 PM,69.5
Investment Master,SSRM,Basic Materials,27.4,36.51,47.32,26.4,0.19,3.0,0.04,5685250000,40.58,48.1,83.75,-290.68,43.52,12.17,0.02,-0.09,1.31,71.75,1.09,8.72,4.26,8/4/2026 4:30:00 PM,69.2
Investment Master,PNFP,Financial,102.6,107.0,58.49,14.09,0.57,2.98,0.02,15503560000,116.62,13.66,125.62,3.2,,15.06,0.75,1.03,1.46,85.17,1.57,5.94,3.99,7/22/2026 4:30:00 PM,68.9
Investment Master,GMED,Healthcare,77.08,101.39,47.08,17.95,1.18,3.37,0.12,10457150000,104.5,35.57,27.04,66.6,64.08,18.92,0.02,0.95,17.15,82.75,1.62,7.07,6.29,8/6/2026 4:30:00 PM,68.8
Investment Master,KTOS,Industrials,48.25,133.99,45.21,285.33,1.25,6.39,0.28,9047820000,106.33,120.37,22.6,130.21,21.95,2.08,0.05,1.09,1.46,90.35,1.32,10.38,5.62,8/4/2026 4:30:00 PM,68.4
Investment Master,MP,Basic Materials,41.84,100.24,28.9,,,21.43,0.18,7448450000,77.14,84.37,118.59,67.61,8.12,-20.48,0.44,1.91,18.64,72.09,1.21,28.4,19.61,8/6/2026 4:30:00 PM,68.1
Investment Master,FIX,Industrials,1760.1,2073.88,47.8,43.3,0.88,5.52,0.11,61945540000,2196.5,24.79,50.26,91.92,25.08,12.78,0.11,1.7,1.23,95.09,1.45,0.84,2.41,7/23/2026 4:30:00 PM,67.8
Investment Master,FSLR,Technology,205.9,320.97,34.96,13.3,0.31,4.08,0.17,22124640000,261.9,27.2,23.64,65.1,41.73,30.73,0.06,1.76,5.47,92.87,2.0,9.89,9.74,7/30/2026 4:30:00 PM,67.5
