Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,801.82,1255.0,39.13,18.15,0.03,10.03,0.03,905570720000,1568.74,95.65,345.72,1372.09,72.6,55.91,0.06,2.21,0.44,78.11,1.31,36.21,3.22,6/24/2026 4:30:00 PM,95.3
Investment Master,CRDO,Technology,182.81,308.7,36.47,73.72,0.42,25.53,0.16,34089300000,290.14,58.71,157.02,336.83,68.01,35.37,0.01,3.26,9.94,74.67,1.15,6.01,3.58,6/1/2026 4:30:00 PM,90.1
Investment Master,NVDA,Technology,192.32,236.53,39.47,29.45,0.32,18.36,0.22,4654264930000,314.29,63.42,85.23,213.42,74.15,62.97,0.07,2.22,3.85,69.34,1.23,324.05,1.39,5/20/2026 4:30:00 PM,89.8
Investment Master,CDE,Basic Materials,14.26,27.77,38.94,11.79,0.24,5.73,0.04,14695220000,24.84,74.19,137.76,451.88,43.69,31.16,0.07,1.33,0.59,77.34,1.42,55.84,5.45,8/5/2026 4:30:00 PM,87.7
Investment Master,PLTR,Technology,123.35,207.52,44.34,138.97,0.99,56.6,0.67,295708460000,189.04,53.25,84.71,304.06,84.07,43.67,0.03,1.58,8.5,56.99,1.94,77.88,3.55,8/3/2026 4:30:00 PM,86.9
Investment Master,ONDS,Technology,7.59,15.27,46.06,37.94,,44.8,0.04,4327920000,19.81,161.0,1079.85,496.37,31.18,140.68,0.02,2.71,8.25,36.16,1.0,229.56,43.91,5/14/2026 8:30:00 AM,85.9
Investment Master,IONQ,Technology,33.24,84.64,31.46,,,66.31,0.09,12407500000,70.38,111.73,754.72,1570.07,-28.8,164.87,0.01,3.31,1.66,56.18,1.6,47.05,12.82,8/5/2026 4:30:00 PM,84.6
Investment Master,TER,Technology,338.36,487.9,44.67,46.39,0.6,11.87,0.11,52967880000,440.93,30.31,103.99,386.31,59.14,25.77,0.03,1.81,0.68,94.36,1.8,7.3,4.69,7/28/2026 4:30:00 PM,83.5
Investment Master,AU,Basic Materials,76.94,129.14,41.78,11.29,0.33,3.48,0.05,38855280000,120.33,56.39,64.85,188.38,56.04,31.11,0.27,0.67,0.22,65.41,1.67,5.62,1.11,7/31/2026 8:30:00 AM,82.2
Investment Master,ALAB,Technology,255.52,499.45,33.26,172.23,1.1,43.74,0.47,43798160000,314.97,23.27,93.4,148.21,75.99,26.72,0.03,3.98,18.17,71.66,1.88,9.53,6.79,8/4/2026 4:30:00 PM,81.9
Investment Master,RDDT,Communication Services,183.37,282.98,51.8,51.99,0.58,14.27,0.21,35299420000,230.06,25.46,69.08,609.3,90.72,28.6,0.01,1.94,28.78,65.98,1.75,16.99,12.39,7/30/2026 4:30:00 PM,81.1
Investment Master,STRL,Industrials,529.49,1005.68,30.72,47.34,0.57,5.63,0.06,16247910000,956.43,80.63,91.59,141.86,22.43,12.02,0.29,1.91,2.44,92.42,1.3,1.28,4.28,8/3/2026 4:30:00 PM,80.4
Investment Master,HL,Basic Materials,13.97,34.18,38.0,20.07,0.39,5.96,0.11,9366500000,23.53,68.43,56.55,466.67,48.39,29.65,0.11,1.32,0.83,73.4,1.91,41.15,6.19,8/4/2026 4:30:00 PM,79.7
Investment Master,LITE,Technology,627.34,1085.74,35.71,116.43,0.24,19.61,0.22,48807260000,1122.3,78.9,90.12,332.76,35.36,17.61,1.11,1.53,2.57,98.65,1.45,8.78,11.59,8/11/2026 4:30:00 PM,79.7
Investment Master,AVGO,Technology,378.73,495.01,46.53,63.05,0.34,23.88,0.5,1801862020000,528.6,39.57,47.87,85.59,65.66,38.85,0.74,1.47,1.91,78.87,1.31,68.64,1.47,6/3/2026 4:30:00 PM,78.4
Investment Master,CBRS,Technology,182.85,386.33,42.99,158.43,,83.94,0.89,50692630000,292.0,59.69,94.35,44.27,41.98,41.02,0.49,,71.5,4.79,1.42,10.42,13.02,8/12/2026 4:30:00 PM,78.4
Investment Master,WDC,Technology,467.52,799.86,40.11,27.91,0.3,13.68,0.3,161144070000,665.96,42.45,45.47,483.37,45.4,54.28,0.18,2.18,0.94,98.5,1.67,23.26,6.81,8/5/2026 4:30:00 PM,77.3
Investment Master,NBIS,Technology,157.31,299.87,35.66,52.48,,45.09,0.07,39586800000,270.8,72.14,621.52,521.4,7.48,95.27,1.31,4.57,19.71,50.74,1.78,61.07,30.22,5/13/2026 8:30:00 AM,76.9
Investment Master,BE,Industrials,169.94,351.26,34.53,227.56,0.31,15.53,0.09,48338400000,285.33,67.9,165.52,438.24,31.22,7.87,1.74,3.84,6.31,86.24,2.27,19.19,7.2,7/28/2026 4:30:00 PM,76.6
Investment Master,TSM,Technology,383.96,478.99,36.54,27.71,0.47,13.94,0.42,1991390530000,537.7,40.04,32.92,73.33,63.38,50.31,0.15,1.4,0.09,15.2,1.2,33.35,0.64,7/16/2026 8:30:00 AM,76.5
Investment Master,META,Communication Services,589.68,796.22,42.44,21.44,0.84,6.96,0.21,1496857330000,822.55,39.49,33.08,62.49,81.94,32.84,0.36,1.24,13.7,67.49,1.28,37.85,1.73,7/29/2026 4:30:00 PM,75.5
Investment Master,BEAM,Healthcare,26.11,38.26,36.73,,,16.38,0.05,2686170000,50.92,95.02,324.87,26.46,86.36,-39.66,0.22,2.24,9.43,96.46,1.27,23.22,24.91,5/7/2026 8:30:00 AM,74.6
Investment Master,GOOGL,Communication Services,332.84,408.59,41.32,16.72,1.24,9.11,0.38,4064514260000,428.45,28.73,23.98,294.02,60.94,54.7,0.18,1.25,52.19,38.54,1.3,78.67,1.35,7/22/2026 4:30:00 PM,73.9
