Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,990.21,1255.02,52.52,22.42,0.04,12.39,0.04,1118336340000,1568.74,58.42,345.72,1372.09,72.6,55.91,0.06,2.18,0.44,79.19,1.31,31.67,2.82,6/24/2026 4:30:00 PM,92.2
Investment Master,CDE,Basic Materials,15.24,27.77,44.55,12.6,0.24,6.12,0.04,15705140000,24.84,62.99,137.76,451.88,43.69,31.16,0.07,1.32,0.59,77.32,1.42,51.66,5.04,8/5/2026 4:30:00 PM,86.8
Investment Master,PLTR,Technology,123.37,207.52,42.53,138.99,0.99,56.61,0.67,295756420000,189.04,53.23,84.71,304.06,84.07,43.67,0.03,1.58,8.5,57.98,1.94,87.26,3.98,8/3/2026 4:30:00 PM,86.8
Investment Master,CRDO,Technology,236.5,308.67,50.34,95.37,0.55,33.03,0.21,44102020000,290.14,22.68,157.02,336.83,68.01,35.37,0.01,3.22,9.94,74.39,1.15,5.33,3.18,6/1/2026 4:30:00 PM,86.8
Investment Master,NVDA,Technology,208.76,236.53,52.92,31.97,0.35,19.93,0.23,5051991870000,314.29,50.55,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.45,1.23,310.13,1.33,5/20/2026 4:30:00 PM,86.6
Investment Master,ONDS,Technology,7.93,15.28,49.67,39.61,,46.78,0.04,4518820000,19.81,149.81,1079.85,496.37,31.18,140.68,0.02,2.71,8.25,36.1,1.0,197.58,37.79,5/14/2026 8:30:00 AM,85.9
Investment Master,IONQ,Technology,34.07,84.65,27.47,,,67.96,0.09,12717310000,71.32,109.33,754.72,1570.07,-28.8,164.87,0.01,3.28,1.66,55.54,1.64,44.03,12.0,5/6/2026 4:30:00 PM,84.7
Investment Master,RDDT,Communication Services,168.78,282.95,41.84,47.86,0.54,13.14,0.19,32491670000,230.23,36.41,69.08,609.3,90.72,28.6,0.01,1.96,28.78,65.86,1.77,17.0,12.4,7/30/2026 4:30:00 PM,82.1
Investment Master,AU,Basic Materials,78.42,129.15,43.77,11.5,0.34,3.55,0.05,39602690000,120.33,53.44,64.85,188.38,56.04,31.11,0.27,0.67,0.22,65.47,1.67,6.25,1.24,5/8/2026 8:30:00 AM,81.9
Investment Master,TER,Technology,373.75,487.92,50.22,69.17,0.66,15.46,0.18,58507640000,437.53,17.06,86.84,314.51,58.52,22.56,0.03,1.77,0.68,95.53,1.86,9.13,5.87,7/28/2026 4:30:00 PM,79.2
