Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,865.46,1255.02,42.5,19.59,0.03,10.83,0.03,977444550000,1570.27,81.44,345.72,1372.09,72.6,55.91,0.06,2.2,0.44,79.17,1.32,31.67,2.82,6/24/2026 4:30:00 PM,94.2
Investment Master,CDE,Basic Materials,14.16,27.77,34.97,11.71,0.23,5.69,0.04,14592170000,25.86,82.63,137.76,451.88,43.69,31.16,0.07,1.33,0.59,77.22,1.25,51.66,5.04,8/5/2026 4:30:00 PM,88.7
Investment Master,CRDO,Technology,212.07,308.69,42.61,85.52,0.49,29.62,0.19,39546370000,289.3,36.42,157.02,336.83,68.01,35.37,0.01,3.24,10.2,74.46,1.14,5.33,3.18,6/1/2026 4:30:00 PM,88.1
Investment Master,NVDA,Technology,203.28,236.54,48.62,31.13,0.34,19.41,0.23,4919375970000,314.79,54.86,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.44,1.23,310.13,1.33,5/20/2026 4:30:00 PM,87.7
Investment Master,ONDS,Technology,6.87,15.28,38.04,34.32,,40.53,0.04,3914790000,19.81,188.36,1079.85,496.37,31.18,140.68,0.02,2.73,8.25,38.89,1.0,197.58,37.79,5/14/2026 8:30:00 AM,85.9
Investment Master,PLTR,Technology,134.85,207.53,55.76,151.93,1.09,61.88,0.73,323277570000,190.08,40.96,84.71,304.06,84.07,43.67,0.03,1.57,8.5,57.97,1.94,87.26,3.98,8/3/2026 4:30:00 PM,85.4
Investment Master,IONQ,Technology,34.24,84.65,25.54,,,68.3,0.09,12780770000,71.32,108.29,754.72,1570.07,-28.8,164.87,0.01,3.3,1.66,55.52,1.64,44.03,12.0,5/6/2026 4:30:00 PM,84.7
Investment Master,AU,Basic Materials,74.88,129.15,34.84,10.98,0.32,3.39,0.05,37814950000,120.33,60.7,64.85,188.38,56.04,31.11,0.27,0.68,0.22,65.46,1.67,6.25,1.24,5/8/2026 8:30:00 AM,82.6
Investment Master,RDDT,Communication Services,181.64,282.93,48.76,51.5,0.58,14.14,0.2,34967350000,230.23,26.75,69.08,609.3,90.72,28.6,0.01,1.93,28.78,65.68,1.77,17.0,12.4,7/30/2026 4:30:00 PM,81.2
Investment Master,TER,Technology,333.76,487.88,41.95,61.77,0.59,13.8,0.16,52247510000,437.53,31.09,86.84,314.51,58.52,22.56,0.03,1.8,0.69,95.32,1.86,9.13,5.87,7/28/2026 4:30:00 PM,80.6
Investment Master,HL,Basic Materials,14.29,34.17,38.34,20.54,0.39,6.1,0.11,9584480000,24.08,68.51,56.55,466.67,48.39,29.65,0.11,1.32,0.83,73.41,1.91,41.99,7.06,5/5/2026 4:30:00 PM,79.5
Investment Master,ALAB,Technology,309.09,499.5,39.93,208.34,1.36,52.9,0.57,52980480000,313.21,1.33,93.4,148.21,75.99,26.72,0.03,3.89,18.17,71.38,1.88,12.68,9.04,8/4/2026 4:30:00 PM,78.9
Investment Master,AVGO,Technology,378.16,494.97,46.74,62.95,0.35,23.84,0.5,1799126500000,528.0,39.62,47.87,85.59,65.66,38.85,0.74,1.47,1.91,79.95,1.32,70.12,1.5,6/3/2026 4:30:00 PM,78.4
Investment Master,NEM,Basic Materials,89.2,134.89,35.95,11.57,0.42,3.9,0.08,95225700000,135.16,51.52,47.46,78.85,55.12,34.64,0.16,0.49,0.11,81.73,1.52,19.49,1.83,7/23/2026 4:30:00 PM,78.2
Investment Master,CBRS,Technology,176.88,386.37,39.73,153.26,,81.21,0.86,49038310000,291.09,64.57,94.35,44.27,41.98,41.02,0.49,,71.49,4.71,1.42,13.53,16.9,6/23/2026 4:30:00 PM,78.1
Investment Master,EQT,Energy,49.05,68.24,34.87,9.3,0.57,3.21,0.06,30679690000,67.88,38.39,49.54,488.4,49.33,34.39,0.24,0.58,1.09,93.97,1.55,21.29,3.44,7/21/2026 4:30:00 PM,77.6
