Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,1043.65,1254.99,52.46,23.63,0.04,13.06,0.04,1178691100000,1574.41,50.86,345.72,1372.09,72.6,55.91,0.06,2.14,0.44,79.2,1.29,41.59,3.7,6/24/2026 4:30:00 PM,90.5
Investment Master,NVDA,Technology,198.3,236.52,43.81,30.37,0.33,18.93,0.22,4798980820000,313.39,58.04,85.23,213.42,74.15,62.97,0.07,2.21,3.85,70.41,1.26,299.67,1.29,5/20/2026 4:30:00 PM,88.5
Investment Master,CDE,Basic Materials,16.6,27.76,46.07,13.73,0.28,6.7,0.05,17178050000,27.27,64.28,137.76,451.88,43.69,31.16,0.07,1.3,0.59,76.99,1.25,43.97,4.28,5/6/2026 4:30:00 PM,87.2
Investment Master,PLTR,Technology,127.47,207.5,49.85,143.61,1.03,58.49,0.69,305585400000,189.87,48.95,84.71,304.06,84.07,43.67,0.03,1.56,8.51,57.89,2.0,76.44,3.49,5/4/2026 4:30:00 PM,86.3
Investment Master,ONDS,Technology,8.04,15.28,38.66,40.16,,43.54,0.04,4206229999,20.12,150.25,1079.85,496.37,31.18,140.68,0.02,2.69,2.07,39.2,1.0,167.52,32.88,5/14/2026 8:30:00 AM,85.9
Investment Master,CRDO,Technology,262.11,308.66,55.54,105.7,0.66,36.61,0.23,48878650000,280.14,6.88,157.02,336.83,68.01,35.37,0.01,3.2,10.24,74.66,1.14,9.47,5.66,6/1/2026 4:30:00 PM,83.3
Investment Master,AU,Basic Materials,81.69,129.13,41.77,11.98,0.32,3.69,0.06,41256580000,131.46,60.93,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.08,1.57,4.12,0.82,5/8/2026 8:30:00 AM,82.8
Investment Master,RDDT,Communication Services,200.28,282.96,65.12,56.79,0.65,15.59,0.23,38555710000,227.87,13.78,69.08,609.3,90.72,28.6,0.01,1.94,28.76,65.56,1.79,16.47,12.01,4/30/2026 4:30:00 PM,79.9
Investment Master,AVGO,Technology,369.96,495.0,42.17,61.59,0.34,23.32,0.49,1760138090000,525.71,42.1,47.87,85.59,65.66,38.85,0.74,1.46,1.94,79.87,1.31,61.48,1.32,6/3/2026 4:30:00 PM,78.7
Investment Master,EBC,Financial,22.65,22.58,74.81,12.67,0.57,3.72,0.0,5234230000,23.44,3.49,1206.82,126.85,,26.37,0.19,0.68,7.71,74.15,1.25,9.74,4.56,4/23/2026 4:30:00 PM,78.7
Investment Master,HL,Basic Materials,15.84,34.18,48.02,22.76,0.41,6.76,0.12,10620730000,25.19,59.03,56.55,466.67,48.39,29.65,0.11,1.29,0.83,73.72,2.0,39.41,5.93,5/5/2026 4:30:00 PM,78.7
Investment Master,IONQ,Technology,53.0,84.64,45.74,,,105.73,0.14,19783270000,71.32,34.57,754.72,1570.07,-28.8,164.87,0.01,3.23,1.66,55.59,1.64,50.49,13.75,5/6/2026 4:30:00 PM,78.4
Investment Master,NEM,Basic Materials,93.77,134.88,37.93,12.16,0.4,4.1,0.09,100101650000,141.34,50.73,47.46,78.85,55.12,34.64,0.16,0.48,0.11,81.77,1.59,19.7,1.85,4/23/2026 4:30:00 PM,78.1
Investment Master,EQT,Energy,52.81,68.23,47.3,10.01,0.56,3.46,0.07,33034629999,69.92,32.4,49.54,488.4,49.33,34.39,0.24,0.55,1.09,93.86,1.72,21.48,3.47,4/21/2026 4:30:00 PM,76.8
