Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,904.69,1254.95,44.43,20.48,0.03,11.32,0.03,1021750610000,1575.62,74.16,345.72,1372.09,72.6,55.91,0.06,2.17,0.44,79.18,1.28,41.59,3.7,6/24/2026 4:30:00 PM,93.4
Investment Master,NVDA,Technology,191.9,236.53,39.07,29.39,0.32,18.32,0.21,4643979850000,313.39,63.31,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.42,1.26,299.67,1.29,5/20/2026 4:30:00 PM,89.8
Investment Master,CDE,Basic Materials,15.99,27.77,42.74,13.22,0.27,6.42,0.05,16478029999,27.27,70.54,137.76,451.88,43.69,31.16,0.07,1.31,0.59,77.36,1.25,43.97,4.29,5/6/2026 4:30:00 PM,87.7
Investment Master,ONDS,Technology,7.43,15.29,36.5,37.09,,40.21,0.04,3884480000,19.81,166.62,1079.85,496.37,31.18,140.68,0.02,2.71,2.07,39.19,1.0,167.52,32.7,5/14/2026 8:30:00 AM,85.9
Investment Master,PLTR,Technology,133.54,207.52,55.15,150.46,1.07,61.28,0.72,320149060000,190.3,42.5,84.71,304.06,84.07,43.67,0.03,1.58,8.51,57.88,1.97,76.44,3.49,5/4/2026 4:30:00 PM,85.7
Investment Master,CRDO,Technology,239.26,308.68,49.12,96.48,0.6,33.42,0.21,44616870000,280.14,17.09,157.02,336.83,68.01,35.37,0.01,3.21,10.24,74.66,1.14,9.47,5.66,6/1/2026 4:30:00 PM,85.7
Investment Master,AU,Basic Materials,81.84,129.15,42.84,12.01,0.34,3.7,0.06,41329810000,130.19,59.08,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.04,1.57,4.12,0.82,5/8/2026 8:30:00 AM,82.6
Investment Master,IONQ,Technology,44.52,84.64,35.73,,,88.81,0.12,16617980000,71.32,60.2,754.72,1570.07,-28.8,164.87,0.01,3.25,1.66,55.44,1.64,50.49,13.75,5/6/2026 4:30:00 PM,80.7
Investment Master,TER,Technology,333.69,487.92,40.2,61.76,0.64,13.8,0.16,52236550000,430.2,28.92,86.84,314.51,58.52,22.56,0.03,1.76,0.69,96.18,1.86,8.85,5.69,4/28/2026 4:30:00 PM,80.4
Investment Master,RDDT,Communication Services,202.86,282.93,65.4,57.52,0.65,15.79,0.23,39052780000,228.23,12.51,69.08,609.3,90.72,28.6,0.01,1.91,28.78,65.58,1.79,16.47,12.01,4/30/2026 4:30:00 PM,79.8
