Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Investment Score
Investment Master,WPM,Basic Materials,120.94,165.76,46.19,30.56,0.89,20.0,0.22,54921270000,181.04,49.69,91.63,128.9,74.68,65.55,0.0,0.53,0.12,66.09,1.06,3.38,0.75,89.4
Investment Master,OR,Basic Materials,33.67,48.05,43.15,25.08,0.73,19.41,0.22,6314060000,50.48,49.93,87.25,186.55,84.39,78.09,0.0,0.73,0.41,85.22,1.82,2.4,1.29,89.0
Investment Master,AGI,Basic Materials,31.15,55.42,32.98,12.39,0.21,6.31,0.08,13079650000,53.45,71.59,79.19,1164.07,58.6,51.24,0.05,0.53,0.36,60.71,1.0,7.77,1.86,88.9
Investment Master,ARIS,Basic Materials,16.52,23.29,46.74,19.89,0.1,2.98,0.02,3410160000,31.13,88.44,136.45,3307.3,50.36,15.19,0.35,0.65,3.22,75.12,1.0,4.17,2.09,87.6
Investment Master,PLTR,Technology,120.87,207.54,35.43,136.18,0.97,55.47,0.65,289762870000,189.87,57.09,84.71,304.06,84.07,43.67,0.03,1.55,8.51,57.85,2.0,69.19,3.16,87.3
Investment Master,CDE,Basic Materials,17.47,27.77,47.83,14.44,0.3,7.05,0.05,18073410000,27.27,56.1,137.76,451.88,43.69,31.16,0.07,1.29,0.59,76.96,1.25,37.43,3.64,86.6
Investment Master,IAG,Basic Materials,16.81,24.87,48.56,9.8,0.33,2.85,0.02,9716180000,25.63,52.47,115.91,833.14,47.04,29.49,0.15,1.29,0.32,67.12,1.5,4.64,0.81,86.3
Investment Master,NVDA,Technology,209.47,236.53,49.39,32.08,0.37,20.0,0.23,5069174030000,310.62,48.29,85.23,213.42,74.15,62.97,0.07,2.2,4.09,70.28,1.25,284.72,1.23,86.3
Investment Master,GFI,Basic Materials,34.76,61.64,38.02,8.79,0.33,3.55,0.05,31110890000,58.73,68.96,71.9,197.32,54.2,40.76,0.38,0.68,0.0,18.33,1.85,3.69,0.41,85.4
Investment Master,AEM,Basic Materials,165.86,255.25,43.52,15.6,0.72,6.13,0.09,82936630000,257.67,55.35,66.09,108.22,60.15,39.46,0.01,0.58,0.45,66.83,1.62,4.78,0.96,84.1
Investment Master,KGC,Basic Materials,26.14,39.11,42.78,11.07,0.37,3.92,0.06,31213650000,43.3,65.65,60.78,134.85,51.87,35.99,0.08,0.76,0.52,63.95,1.43,16.18,1.36,83.4
Investment Master,EBC,Financial,20.6,22.57,56.34,11.53,0.52,3.38,0.0,4762640000,23.31,13.16,1206.82,126.85,,26.37,0.19,0.69,7.71,74.12,1.25,8.42,3.95,82.6
Investment Master,AU,Basic Materials,85.02,129.13,42.76,12.47,0.34,3.85,0.06,42938380000,135.6,59.49,64.85,188.38,56.04,31.11,0.27,0.65,0.22,67.94,1.62,5.46,1.08,82.5
Investment Master,AG,Basic Materials,17.81,32.03,43.74,30.35,0.58,5.9,0.06,8794640000,27.52,54.52,95.4,5006.0,42.98,19.52,0.11,0.9,1.37,50.27,1.57,17.71,3.64,82.4
Investment Master,MUX,Basic Materials,19.23,29.71,43.19,17.53,0.07,4.87,0.05,1148500000,32.62,69.63,107.44,504.93,17.19,31.4,0.2,1.2,14.37,54.47,1.14,9.91,19.36,82.2
Investment Master,RDDT,Communication Services,173.27,282.94,53.17,49.13,0.56,13.49,0.2,33356210000,227.87,31.51,69.08,609.3,90.72,28.6,0.01,1.93,28.76,64.67,1.79,13.4,9.77,82.1
Investment Master,B,Basic Materials,40.05,54.69,46.77,11.03,0.36,3.53,0.05,67104170000,57.1,42.57,70.11,248.03,52.26,32.18,0.17,0.46,0.45,69.59,1.56,18.72,1.12,81.9
Investment Master,BVN,Basic Materials,32.55,44.67,46.1,8.44,1.44,4.02,0.04,8258840000,36.78,13.0,101.52,137.72,48.3,47.69,0.17,0.39,0.0,46.07,2.17,5.06,1.99,81.8
Investment Master,CGAU,Basic Materials,16.57,21.18,48.07,5.34,0.31,2.17,0.03,3289640000,23.53,42.0,75.55,193.52,31.5,41.77,0.02,0.8,0.33,89.91,2.0,6.3,3.18,81.2
Investment Master,MU,Technology,1191.58,1149.4,68.97,56.26,0.07,23.12,0.12,1343786110000,1109.53,-6.89,196.29,756.34,58.54,41.49,0.15,2.15,0.44,79.19,1.35,37.55,3.35,79.0
Investment Master,RLX,Consumer Defensive,1.9,2.84,37.27,17.56,0.6,2.79,0.02,1724470000,2.99,57.37,118.0,33.91,33.29,22.44,0.01,1.15,7.15,20.78,1.4,4.41,0.52,79.0
Investment Master,HL,Basic Materials,16.0,34.16,45.77,23.01,0.42,6.83,0.12,10734710000,25.53,59.56,56.55,466.67,48.39,29.65,0.11,1.29,0.78,73.93,2.0,32.9,4.95,78.9
Investment Master,BZ,Communication Services,13.56,25.27,47.2,13.38,0.81,4.48,0.34,5312070000,20.59,51.84,13.04,121.64,87.39,40.23,0.01,0.48,1.11,82.17,1.36,15.75,4.08,78.2
Investment Master,PAAS,Basic Materials,48.9,69.99,43.43,15.67,0.41,5.15,0.1,20604980000,71.71,46.65,49.25,132.77,42.92,31.66,0.11,0.7,0.14,56.32,1.44,2.58,0.61,78.2
Investment Master,CRDO,Technology,295.27,274.9,70.06,119.07,0.76,41.24,0.26,55062880000,275.25,-6.78,157.02,336.83,68.01,35.37,0.01,3.2,10.3,74.51,1.14,10.28,6.14,77.7
Investment Master,AVGO,Technology,397.29,495.0,47.57,66.14,0.36,25.05,0.52,1890115190000,525.3,32.22,47.87,85.59,65.66,38.85,0.74,1.45,1.94,79.78,1.33,58.48,1.25,77.6
