Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,859.34,1255.06,41.61,19.45,0.03,10.75,0.03,970538260000,1578.96,83.74,345.72,1372.09,72.6,55.91,0.06,2.16,0.44,79.18,1.28,31.67,2.82,6/24/2026 4:30:00 PM,94.4
Investment Master,CRDO,Technology,213.52,308.69,41.83,86.1,0.52,29.82,0.19,39816760000,282.36,32.24,157.02,336.83,68.01,35.37,0.01,3.2,10.2,74.77,1.14,5.33,3.19,6/1/2026 4:30:00 PM,87.7
Investment Master,CDE,Basic Materials,15.37,27.77,41.22,12.71,0.25,6.17,0.04,15839110000,26.23,70.66,137.76,451.88,43.69,31.16,0.07,1.32,0.59,77.21,1.25,51.66,5.04,8/5/2026 4:30:00 PM,87.6
Investment Master,NVDA,Technology,207.78,236.54,52.45,31.82,0.34,19.84,0.23,5028275970000,313.74,51.0,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.44,1.27,310.13,1.33,5/20/2026 4:30:00 PM,86.8
Investment Master,PLTR,Technology,129.44,207.54,50.04,145.83,1.04,59.4,0.7,310308110000,190.3,47.02,84.71,304.06,84.07,43.67,0.03,1.59,8.5,57.95,1.97,87.26,3.98,5/4/2026 4:30:00 PM,86.1
Investment Master,ONDS,Technology,6.7,15.28,34.64,33.47,,36.75,0.03,3549920000,19.81,195.67,1079.85,496.37,31.18,140.68,0.02,2.7,8.25,38.71,1.0,197.58,40.65,5/14/2026 8:30:00 AM,85.9
Investment Master,IONQ,Technology,35.86,84.64,27.04,,,71.53,0.09,13385460000,71.32,98.88,754.72,1570.07,-28.8,164.87,0.01,3.25,1.66,55.42,1.64,44.03,12.0,5/6/2026 4:30:00 PM,84.6
Investment Master,AU,Basic Materials,76.92,129.15,37.2,11.28,0.34,3.48,0.05,38845170000,120.79,57.03,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.15,1.8,6.25,1.24,5/8/2026 8:30:00 AM,82.0
Investment Master,TER,Technology,325.34,487.91,39.7,60.21,0.62,13.45,0.15,50929420000,430.2,32.23,86.84,314.51,58.52,22.56,0.03,1.75,0.69,95.27,1.86,9.13,5.87,7/28/2026 4:30:00 PM,80.6
Investment Master,RDDT,Communication Services,192.37,282.94,55.15,54.55,0.62,14.97,0.22,37032000000,228.9,18.99,69.08,609.3,90.72,28.6,0.01,1.93,28.78,65.52,1.77,17.0,12.4,7/30/2026 4:30:00 PM,80.4
