Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,979.3,1255.03,49.12,22.17,0.04,12.25,0.04,1106014620000,1575.62,60.89,345.72,1372.09,72.6,55.91,0.06,2.17,0.44,79.2,1.28,31.67,2.82,6/24/2026 4:30:00 PM,92.5
Investment Master,CDE,Basic Materials,15.98,27.77,44.26,13.21,0.25,6.42,0.05,16467720000,27.05,69.27,137.76,451.88,43.69,31.16,0.07,1.32,0.59,77.28,1.25,51.66,5.04,8/5/2026 4:30:00 PM,87.5
Investment Master,PLTR,Technology,126.79,207.51,48.08,142.85,1.02,58.18,0.69,303955230000,190.3,50.09,84.71,304.06,84.07,43.67,0.03,1.58,8.51,57.95,1.97,87.26,3.98,5/4/2026 4:30:00 PM,86.4
Investment Master,NVDA,Technology,210.96,236.53,56.97,32.31,0.35,20.14,0.24,5105232160000,313.39,48.55,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.45,1.26,310.13,1.33,5/20/2026 4:30:00 PM,86.2
Investment Master,ONDS,Technology,7.26,15.28,36.6,36.26,,39.32,0.04,3798160000,19.81,172.87,1079.85,496.37,31.18,140.68,0.02,2.71,2.07,39.21,1.0,197.58,41.35,5/14/2026 8:30:00 AM,85.9
Investment Master,CRDO,Technology,257.79,308.66,52.95,103.96,0.65,36.01,0.23,48072140000,280.14,8.67,157.02,336.83,68.01,35.37,0.01,3.21,10.22,74.7,1.14,5.33,3.19,6/1/2026 4:30:00 PM,84.4
Investment Master,AU,Basic Materials,82.1,129.15,44.36,12.04,0.34,3.71,0.06,41461110000,128.46,56.47,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.07,1.57,6.25,1.24,5/8/2026 8:30:00 AM,82.3
Investment Master,IONQ,Technology,42.86,84.64,33.66,,,85.5,0.11,15998350000,71.32,66.4,754.72,1570.07,-28.8,164.87,0.01,3.26,1.66,55.4,1.64,44.03,12.0,5/6/2026 4:30:00 PM,81.7
Investment Master,RDDT,Communication Services,195.34,282.94,59.5,55.39,0.63,15.2,0.22,37604710000,228.9,17.18,69.08,609.3,90.72,28.6,0.01,1.92,28.78,65.53,1.79,17.0,12.4,7/30/2026 4:30:00 PM,80.2
Investment Master,TER,Technology,359.6,487.92,44.12,66.56,0.69,14.87,0.17,56292560000,430.2,19.63,86.84,314.51,58.52,22.56,0.03,1.76,0.69,95.3,1.86,9.13,5.87,4/28/2026 4:30:00 PM,79.4
Investment Master,HL,Basic Materials,15.82,34.17,48.73,22.74,0.41,6.75,0.12,10610670000,25.19,59.23,56.55,466.67,48.39,29.65,0.11,1.31,0.83,73.57,2.0,41.99,6.31,5/5/2026 4:30:00 PM,78.7
Investment Master,EQT,Energy,48.85,68.24,30.38,9.26,0.55,3.2,0.06,30554600000,68.65,40.53,49.54,488.4,49.33,34.39,0.24,0.57,1.09,93.89,1.68,21.29,3.44,7/21/2026 4:30:00 PM,77.6
Investment Master,NEM,Basic Materials,95.29,134.88,43.22,12.36,0.42,4.17,0.09,101727100000,137.99,44.81,47.46,78.85,55.12,34.64,0.16,0.48,0.11,81.82,1.59,19.49,1.83,7/23/2026 4:30:00 PM,77.6
Investment Master,AVGO,Technology,399.97,495.01,53.63,66.58,0.37,25.22,0.53,1902889310000,525.71,31.44,47.87,85.59,65.66,38.85,0.74,1.47,1.92,79.94,1.31,70.12,1.5,6/3/2026 4:30:00 PM,77.4
Investment Master,STRL,Industrials,682.29,1005.73,40.05,61.0,0.74,7.26,0.08,20936720000,956.43,40.18,91.59,141.86,22.43,12.02,0.29,1.86,2.42,92.25,1.22,1.19,3.99,5/4/2026 4:30:00 PM,76.7
Investment Master,LITE,Technology,802.01,1085.7,47.47,148.85,0.31,25.07,0.28,62396380000,1132.81,41.25,90.12,332.76,35.36,17.61,1.11,1.49,2.56,99.86,1.48,9.66,12.74,5/5/2026 4:30:00 PM,76.0
Investment Master,EXE,Energy,87.25,126.61,40.49,6.5,0.73,1.62,0.04,20872720000,127.69,46.35,40.78,553.24,50.24,25.03,0.26,0.33,0.47,93.71,1.48,7.69,3.23,4/28/2026 4:30:00 PM,75.2
Investment Master,CBRS,Technology,215.08,386.35,48.24,186.36,,98.74,1.05,59628890000,291.09,35.34,94.35,44.27,41.98,41.02,0.49,,71.37,3.17,1.42,13.53,16.83,6/23/2026 4:30:00 PM,75.1
Investment Master,ALAB,Technology,412.97,499.48,55.04,278.36,1.98,70.68,0.76,70786340000,285.92,-30.76,93.4,148.21,75.99,26.72,0.03,3.72,18.28,71.48,1.84,12.68,9.05,8/4/2026 4:30:00 PM,74.1
Investment Master,WDC,Technology,582.59,799.93,50.01,34.78,0.41,17.05,0.37,200806650000,621.17,6.62,45.47,483.37,45.4,54.28,0.18,2.14,0.93,99.02,1.73,22.38,6.55,4/30/2026 4:30:00 PM,73.9
Investment Master,ADSK,Technology,208.45,329.1,49.54,30.46,0.91,5.85,0.3,43982950000,317.64,52.38,19.63,229.12,85.68,19.46,0.85,1.31,0.37,95.03,1.31,8.77,4.17,5/28/2026 4:30:00 PM,73.6
Investment Master,META,Communication Services,669.21,796.2,66.34,24.33,0.97,7.9,0.24,1698738200000,823.34,23.03,33.08,62.49,81.94,32.84,0.36,1.24,13.7,68.45,1.26,34.49,1.57,4/29/2026 4:30:00 PM,72.7
Investment Master,NBIX,Healthcare,177.11,181.0,66.23,27.23,0.47,5.74,0.14,17808410000,195.68,10.49,42.25,2382.36,98.17,21.55,0.12,0.39,1.74,101.81,1.41,5.53,5.6,7/30/2026 4:30:00 PM,72.3
