Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,812.5,1255.02,38.92,18.39,0.03,10.16,0.03,917631870000,1581.18,94.61,345.72,1372.09,72.6,55.91,0.06,2.17,0.44,81.31,1.28,31.67,2.82,6/24/2026 4:30:00 PM,95.4
Investment Master,CRDO,Technology,191.81,308.67,37.26,77.35,0.45,26.79,0.17,35768330000,287.08,49.67,157.02,336.83,68.01,35.37,0.01,3.22,10.2,74.49,1.14,5.33,3.19,6/1/2026 4:30:00 PM,89.3
Investment Master,CDE,Basic Materials,14.05,27.78,34.52,11.61,0.23,5.64,0.04,14473660000,25.86,84.06,137.76,451.88,43.69,31.16,0.07,1.32,0.59,77.22,1.25,51.66,5.04,8/5/2026 4:30:00 PM,88.8
Investment Master,NVDA,Technology,199.76,236.54,45.9,30.59,0.33,19.07,0.22,4834191860000,313.74,57.06,85.23,213.42,74.15,62.97,0.07,2.22,3.85,71.21,1.26,310.13,1.33,5/20/2026 4:30:00 PM,88.3
Investment Master,PLTR,Technology,129.71,207.54,49.95,146.14,1.04,59.52,0.7,310955390000,190.08,46.54,84.71,304.06,84.07,43.67,0.03,1.58,8.5,59.97,1.94,87.26,3.98,5/4/2026 4:30:00 PM,86.1
Investment Master,ONDS,Technology,6.33,15.28,32.21,31.62,,34.72,0.03,3353880000,19.81,212.95,1079.85,496.37,31.18,140.68,0.02,2.71,8.25,38.92,1.0,197.58,40.65,5/14/2026 8:30:00 AM,85.9
Investment Master,IONQ,Technology,33.56,84.64,24.99,,,66.95,0.09,12526940000,71.32,112.51,754.72,1570.07,-28.8,164.87,0.01,3.27,1.66,55.44,1.64,44.03,12.0,5/6/2026 4:30:00 PM,84.7
Investment Master,AU,Basic Materials,74.75,129.15,34.42,10.97,0.33,3.38,0.05,37749310000,120.79,61.59,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.28,1.8,6.25,1.24,5/8/2026 8:30:00 AM,82.4
Investment Master,TER,Technology,300.02,487.92,36.28,55.53,0.57,12.41,0.14,46965000000,433.53,44.5,86.84,314.51,58.52,22.56,0.03,1.77,0.69,95.36,1.86,9.13,5.87,7/28/2026 4:30:00 PM,81.8
Investment Master,RDDT,Communication Services,177.77,282.94,46.67,50.41,0.57,13.84,0.2,34222250000,230.22,29.5,69.08,609.3,90.72,28.6,0.01,1.93,28.78,65.67,1.75,17.0,12.4,7/30/2026 4:30:00 PM,81.5
Investment Master,HL,Basic Materials,14.19,34.16,37.79,20.4,0.38,6.06,0.11,9520760000,24.08,69.7,56.55,466.67,48.39,29.65,0.11,1.31,0.83,73.58,1.91,41.99,6.31,5/5/2026 4:30:00 PM,79.8
Investment Master,ALAB,Technology,297.21,499.51,38.02,200.33,1.36,50.87,0.54,50944150000,305.68,2.85,93.4,148.21,75.99,26.72,0.03,3.78,18.17,71.34,1.84,12.68,9.04,8/4/2026 4:30:00 PM,79.2
Investment Master,AVGO,Technology,361.38,494.97,41.17,60.16,0.33,22.78,0.48,1719270500000,527.73,46.03,47.87,85.59,65.66,38.85,0.74,1.47,1.91,80.72,1.31,70.12,1.5,6/3/2026 4:30:00 PM,79.0
Investment Master,CBRS,Technology,170.0,386.36,37.63,147.3,,78.05,0.83,47130560000,291.09,71.23,94.35,44.27,41.98,41.02,0.49,,71.49,4.68,1.42,13.53,16.9,6/23/2026 4:30:00 PM,78.8
Investment Master,LITE,Technology,668.89,1085.68,37.52,124.14,0.25,20.91,0.23,52039640000,1126.41,68.4,90.12,332.76,35.36,17.61,1.11,1.5,2.57,99.89,1.48,9.66,12.74,5/5/2026 4:30:00 PM,78.5
Investment Master,STRL,Industrials,600.25,1005.61,34.09,53.66,0.65,6.38,0.07,18419100000,956.43,59.34,91.59,141.86,22.43,12.02,0.29,1.86,2.42,92.22,1.3,1.19,3.99,5/4/2026 4:30:00 PM,78.5
Investment Master,NEM,Basic Materials,89.27,134.89,36.08,11.58,0.42,3.9,0.08,95299370000,135.53,51.82,47.46,78.85,55.12,34.64,0.16,0.49,0.11,81.87,1.52,19.49,1.83,7/23/2026 4:30:00 PM,78.3
