Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,951.02,1254.97,49.33,21.53,0.04,11.9,0.03,1074075409999,1568.74,64.95,345.72,1372.09,72.6,55.91,0.06,2.19,0.44,78.09,1.31,31.67,2.82,6/24/2026 4:30:00 PM,92.8
Investment Master,CRDO,Technology,222.22,308.68,46.09,89.61,0.52,31.04,0.2,41439120000,290.14,30.56,157.02,336.83,68.01,35.37,0.01,3.23,9.94,74.41,1.15,5.33,3.18,6/1/2026 4:30:00 PM,87.5
Investment Master,NVDA,Technology,207.77,236.53,51.95,31.82,0.34,19.84,0.23,5028034110000,314.29,51.27,85.23,213.42,74.15,62.97,0.07,2.21,3.85,69.28,1.23,310.13,1.33,5/20/2026 4:30:00 PM,86.8
Investment Master,PLTR,Technology,123.3,207.51,42.46,138.91,0.99,56.58,0.67,295588610000,189.04,53.32,84.71,304.06,84.07,43.67,0.03,1.58,8.5,56.86,1.94,87.26,3.98,8/3/2026 4:30:00 PM,86.8
Investment Master,CDE,Basic Materials,15.33,27.77,45.22,12.67,0.25,6.16,0.04,15797890000,24.84,62.04,137.76,451.88,43.69,31.16,0.07,1.33,0.59,77.32,1.42,51.66,5.04,8/5/2026 4:30:00 PM,86.7
Investment Master,ONDS,Technology,7.74,15.28,47.73,38.65,,45.65,0.04,4409410000,19.81,155.94,1079.85,496.37,31.18,140.68,0.02,2.71,8.25,36.17,1.0,197.58,37.79,5/14/2026 8:30:00 AM,85.9
Investment Master,IONQ,Technology,33.57,84.64,26.86,,,66.96,0.09,12530490000,71.32,112.45,754.72,1570.07,-28.8,164.87,0.01,3.31,1.66,55.53,1.64,44.03,12.0,5/6/2026 4:30:00 PM,84.7
Investment Master,RDDT,Communication Services,168.51,282.92,41.7,47.78,0.54,13.11,0.19,32440660000,230.23,36.63,69.08,609.3,90.72,28.6,0.01,1.97,28.78,65.87,1.77,17.0,12.4,7/30/2026 4:30:00 PM,82.1
Investment Master,AU,Basic Materials,79.25,129.13,45.39,11.63,0.34,3.58,0.06,40021850000,120.33,51.84,64.85,188.38,56.04,31.11,0.27,0.68,0.22,65.46,1.67,6.25,1.24,5/8/2026 8:30:00 AM,81.8
Investment Master,TER,Technology,366.09,487.92,48.63,67.76,0.65,15.14,0.17,57308600000,437.53,19.51,86.84,314.51,58.52,22.56,0.03,1.79,0.68,94.44,1.86,9.13,5.87,7/28/2026 4:30:00 PM,79.5
