Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,920.95,1255.04,47.14,20.85,0.03,11.52,0.03,1040114560000,1568.74,70.34,345.72,1372.09,72.6,55.91,0.06,2.19,0.44,78.1,1.31,36.21,3.22,6/24/2026 4:30:00 PM,93.2
Investment Master,CRDO,Technology,213.15,308.69,43.75,85.95,0.5,29.77,0.19,39747760000,290.14,36.12,157.02,336.83,68.01,35.37,0.01,3.23,9.94,74.62,1.15,6.01,3.58,6/1/2026 4:30:00 PM,88.0
Investment Master,NVDA,Technology,206.84,236.55,51.07,31.68,0.34,19.75,0.23,5005527910000,314.29,51.95,85.23,213.42,74.15,62.97,0.07,2.21,3.85,69.29,1.23,324.05,1.39,5/20/2026 4:30:00 PM,87.0
Investment Master,PLTR,Technology,122.92,207.53,42.08,138.49,0.99,56.41,0.67,294677620000,189.04,53.79,84.71,304.06,84.07,43.67,0.03,1.58,8.5,56.85,1.94,77.88,3.55,8/3/2026 4:30:00 PM,86.9
Investment Master,CDE,Basic Materials,15.13,27.77,43.89,12.51,0.25,6.08,0.04,15591780000,24.84,64.18,137.76,451.88,43.69,31.16,0.07,1.33,0.59,77.36,1.42,55.84,5.45,8/5/2026 4:30:00 PM,86.8
Investment Master,ONDS,Technology,7.8,15.28,48.34,38.96,,46.01,0.04,4444740000,19.81,153.97,1079.85,496.37,31.18,140.68,0.02,2.71,8.25,36.21,1.0,229.56,43.91,5/14/2026 8:30:00 AM,85.9
Investment Master,IONQ,Technology,32.84,84.64,26.03,,,65.51,0.09,12258180000,71.32,117.17,754.72,1570.07,-28.8,164.87,0.01,3.31,1.66,55.58,1.64,47.05,12.82,8/5/2026 4:30:00 PM,84.6
Investment Master,RDDT,Communication Services,168.73,282.96,41.81,47.84,0.54,13.13,0.19,32482050000,230.23,36.45,69.08,609.3,90.72,28.6,0.01,1.97,28.78,65.87,1.77,16.99,12.39,7/30/2026 4:30:00 PM,82.1
Investment Master,AU,Basic Materials,79.67,129.15,46.17,11.69,0.34,3.6,0.06,40233940000,120.33,51.04,64.85,188.38,56.04,31.11,0.27,0.68,0.22,65.46,1.67,5.62,1.11,7/31/2026 8:30:00 AM,81.7
Investment Master,TER,Technology,349.92,487.9,45.58,64.76,0.62,14.47,0.17,54777230000,437.53,25.04,86.84,314.51,58.52,22.56,0.03,1.79,0.68,94.35,1.86,7.3,4.69,7/28/2026 4:30:00 PM,80.2
Investment Master,ALAB,Technology,291.58,499.45,38.24,196.54,1.28,49.91,0.53,49979130000,311.63,6.88,93.4,148.21,75.99,26.72,0.03,3.91,18.17,71.57,1.88,9.53,6.79,8/4/2026 4:30:00 PM,80.0
Investment Master,HL,Basic Materials,15.14,34.17,46.69,21.76,0.42,6.46,0.11,10154590000,23.53,55.42,56.55,466.67,48.39,29.65,0.11,1.31,0.83,73.43,1.91,41.15,6.19,8/4/2026 4:30:00 PM,78.5
Investment Master,AVGO,Technology,381.92,494.97,47.83,63.58,0.35,24.08,0.5,1817015050000,528.6,38.41,47.87,85.59,65.66,38.85,0.74,1.46,1.91,78.83,1.32,68.64,1.47,6/3/2026 4:30:00 PM,78.2
Investment Master,CBRS,Technology,199.12,386.34,47.1,172.53,,91.42,0.97,55204130000,291.09,46.19,94.35,44.27,41.98,41.02,0.49,,71.5,4.76,1.42,10.42,13.02,6/23/2026 4:30:00 PM,77.0
Investment Master,STRL,Industrials,660.93,1005.68,41.85,59.09,0.71,7.03,0.08,20281420000,956.43,44.71,91.59,141.86,22.43,12.02,0.29,1.88,2.44,92.47,1.3,1.28,4.28,8/3/2026 4:30:00 PM,77.0
Investment Master,LITE,Technology,762.99,1085.64,45.91,141.61,0.29,23.85,0.26,59360620000,1122.3,47.09,90.12,332.76,35.36,17.61,1.11,1.5,2.57,98.62,1.45,8.78,11.59,8/11/2026 4:30:00 PM,76.8
Investment Master,WDC,Technology,519.8,799.82,45.64,31.03,0.35,15.21,0.33,179165770000,643.35,23.77,45.47,483.37,45.4,54.28,0.18,2.16,0.94,98.47,1.7,23.26,6.81,8/5/2026 4:30:00 PM,75.5
Investment Master,META,Communication Services,595.19,796.24,43.82,21.64,0.84,7.03,0.21,1510844070000,822.55,38.2,33.08,62.49,81.94,32.84,0.36,1.23,13.7,67.46,1.28,37.85,1.73,7/29/2026 4:30:00 PM,75.4
Investment Master,BEAM,Healthcare,25.1,38.26,31.45,,,15.74,0.05,2582270000,50.92,102.87,324.87,26.46,86.36,-39.66,0.22,2.25,9.43,96.37,1.27,23.22,24.91,5/7/2026 8:30:00 AM,75.1
Investment Master,GOOG,Communication Services,319.09,404.47,32.78,16.03,1.21,8.71,0.36,3888807480000,430.49,34.91,23.98,294.02,60.94,54.7,0.18,1.25,58.15,27.15,1.34,55.65,1.09,7/22/2026 4:30:00 PM,74.9
Investment Master,GOOGL,Communication Services,319.74,408.61,32.46,16.06,1.2,8.71,0.36,3888807480000,430.76,34.72,23.98,294.02,60.94,54.7,0.18,1.26,52.09,38.68,1.33,78.67,1.35,7/22/2026 4:30:00 PM,74.9
Investment Master,TSM,Technology,403.41,479.0,42.4,29.12,0.5,14.65,0.45,2092277920000,526.12,30.42,32.92,73.33,63.38,50.31,0.15,1.4,0.09,15.19,1.21,33.35,0.64,7/16/2026 8:30:00 AM,74.5
Investment Master,NBIS,Technology,187.77,299.86,42.46,62.65,,53.82,0.09,47252400000,270.8,44.22,621.52,521.4,7.48,95.27,1.31,4.44,19.71,50.64,1.78,61.07,30.22,5/13/2026 8:30:00 AM,74.3
Investment Master,EXE,Energy,91.52,126.62,55.82,6.82,0.82,1.7,0.04,21894220000,126.15,37.84,40.78,553.24,50.24,25.03,0.26,0.33,0.47,91.87,1.48,8.47,3.56,7/28/2026 4:30:00 PM,74.2
Investment Master,ADSK,Technology,209.75,329.07,49.91,30.65,0.91,5.89,0.3,44257250000,315.14,50.25,19.63,229.12,85.68,19.46,0.85,1.29,0.37,93.9,1.31,8.73,4.15,5/28/2026 4:30:00 PM,73.4
Investment Master,HAPN,Financial,18.06,21.67,41.28,12.09,0.17,1.33,0.05,2083239999,24.11,33.5,29.5,337.61,74.25,11.21,0.04,1.93,3.17,89.55,1.0,5.25,4.7,7/27/2026 4:30:00 PM,73.4
Investment Master,NBIX,Healthcare,175.77,181.19,58.3,27.02,0.45,5.7,0.13,17673670000,201.2,14.47,42.25,2382.36,98.17,21.55,0.12,0.39,1.75,102.12,1.42,5.33,5.4,7/30/2026 4:30:00 PM,72.9
Investment Master,ADI,Technology,371.86,445.93,41.47,55.26,0.81,14.22,0.38,181128180000,462.57,24.39,37.25,109.73,58.62,26.01,0.26,1.2,0.28,90.31,1.53,10.46,2.15,5/20/2026 8:30:00 AM,72.3
Investment Master,PODD,Healthcare,163.26,354.91,54.95,38.0,0.76,3.9,0.12,11308150000,234.95,43.91,33.87,158.51,71.64,10.44,0.73,1.1,0.43,103.86,1.48,4.65,6.74,8/5/2026 8:30:00 AM,71.9
Investment Master,BE,Industrials,184.89,351.3,36.11,,0.37,21.47,0.16,52590830000,292.83,58.38,130.37,313.73,31.08,0.25,3.2,3.82,6.31,86.11,2.33,19.19,7.2,7/28/2026 4:30:00 PM,71.7
Investment Master,AVAV,Industrials,149.51,417.86,46.38,,1.64,3.83,0.03,7566410000,226.42,51.44,133.27,112.23,18.93,-13.41,0.19,1.4,25.08,63.27,1.27,3.84,10.13,6/29/2026 4:30:00 PM,71.3
Investment Master,ADMA,Healthcare,8.27,20.46,38.32,12.2,0.3,3.76,,1916760000,17.0,105.56,-0.27,71.73,61.24,32.43,0.52,0.74,2.83,91.62,1.75,24.03,10.67,5/6/2026 4:30:00 PM,71.2
Investment Master,BSX,Healthcare,44.25,109.5,45.59,18.56,1.15,3.19,0.28,65771210000,71.36,61.27,11.58,98.72,65.44,17.29,0.43,0.57,0.5,91.5,1.39,28.28,1.91,7/29/2026 8:30:00 AM,71.1
Investment Master,ABCL,Healthcare,5.31,8.44,38.22,,,20.47,0.21,1621540000,10.5,97.74,96.34,7.05,61.02,-181.75,0.15,1.22,23.04,42.1,1.0,45.11,19.19,8/5/2026 4:30:00 PM,71.1
Investment Master,ICE,Financial,145.79,189.36,62.94,21.23,1.43,6.38,0.27,82446070000,181.8,24.7,23.56,79.47,68.69,30.41,0.71,0.92,0.61,94.12,1.25,9.06,1.61,7/30/2026 8:30:00 AM,70.4
Investment Master,ESTC,Technology,58.68,96.07,47.14,16.77,0.68,3.51,0.22,6099880000,75.28,28.29,16.03,2754.97,76.07,21.14,0.46,0.99,13.84,87.08,1.97,7.08,7.91,5/28/2026 4:30:00 PM,70.0
