Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,902.05,1254.94,44.22,20.42,0.03,11.29,0.03,1018764040000,1578.96,75.04,345.72,1372.09,72.6,55.91,0.06,2.17,0.44,79.19,1.28,31.67,2.82,6/24/2026 4:30:00 PM,93.7
Investment Master,CDE,Basic Materials,16.05,27.78,45.52,13.26,0.26,6.45,0.05,16534700000,26.23,63.43,137.76,451.88,43.69,31.16,0.07,1.32,0.59,77.28,1.25,51.66,5.04,8/5/2026 4:30:00 PM,87.0
Investment Master,CRDO,Technology,225.74,308.68,44.77,91.03,0.55,31.53,0.2,42095760000,282.36,25.08,157.02,336.83,68.01,35.37,0.01,3.21,10.2,74.7,1.14,5.33,3.19,6/1/2026 4:30:00 PM,87.0
Investment Master,NVDA,Technology,211.51,236.54,56.11,32.39,0.35,20.19,0.24,5118544450000,313.74,48.33,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.45,1.27,310.13,1.33,5/20/2026 4:30:00 PM,86.1
Investment Master,ONDS,Technology,6.94,15.28,36.36,34.67,,38.06,0.04,3677080000,19.81,185.45,1079.85,496.37,31.18,140.68,0.02,2.71,8.66,39.21,1.0,197.58,41.35,5/14/2026 8:30:00 AM,85.9
Investment Master,PLTR,Technology,133.4,207.53,54.59,150.29,1.07,61.22,0.72,319801440000,190.3,42.65,84.71,304.06,84.07,43.67,0.03,1.58,8.5,57.95,1.97,87.26,3.98,5/4/2026 4:30:00 PM,85.6
Investment Master,IONQ,Technology,37.13,84.64,28.28,,,74.07,0.1,13859520000,71.32,92.08,754.72,1570.07,-28.8,164.87,0.01,3.26,1.66,55.4,1.64,44.03,12.0,5/6/2026 4:30:00 PM,84.0
Investment Master,AU,Basic Materials,79.69,129.14,41.16,11.69,0.33,3.6,0.06,40244050000,122.31,53.48,64.85,188.38,56.04,31.11,0.27,0.67,0.22,66.14,1.8,6.25,1.24,5/8/2026 8:30:00 AM,81.7
Investment Master,RDDT,Communication Services,195.17,282.94,57.21,55.34,0.63,15.19,0.22,37571990000,228.9,17.28,69.08,609.3,90.72,28.6,0.01,1.91,28.78,65.53,1.79,17.0,12.4,7/30/2026 4:30:00 PM,80.2
Investment Master,TER,Technology,339.61,487.88,41.81,62.86,0.65,14.04,0.16,53164070000,430.2,26.67,86.84,314.51,58.52,22.56,0.03,1.76,0.69,95.28,1.86,9.13,5.87,4/28/2026 4:30:00 PM,80.1
Investment Master,HL,Basic Materials,15.45,34.16,46.39,22.22,0.42,6.6,0.12,10365860000,24.08,55.86,56.55,466.67,48.39,29.65,0.11,1.31,0.83,73.59,2.0,41.99,6.31,5/5/2026 4:30:00 PM,78.4
Investment Master,AVGO,Technology,393.58,495.01,51.45,65.52,0.36,24.81,0.52,1872488300000,526.42,33.75,47.87,85.59,65.66,38.85,0.74,1.47,1.94,79.94,1.31,70.12,1.5,6/3/2026 4:30:00 PM,77.8
Investment Master,EQT,Energy,49.35,68.24,35.22,9.35,0.56,3.23,0.07,30867400000,68.15,38.1,49.54,488.4,49.33,34.39,0.24,0.57,1.09,93.91,1.61,21.29,3.44,7/21/2026 4:30:00 PM,77.5
Investment Master,NEM,Basic Materials,95.58,134.89,45.03,12.4,0.43,4.18,0.09,102036690000,135.95,42.24,47.46,78.85,55.12,34.64,0.16,0.48,0.11,81.86,1.52,19.49,1.83,7/23/2026 4:30:00 PM,77.4
Investment Master,CBRS,Technology,185.4,386.33,41.07,160.64,,85.11,0.9,51399010000,291.09,57.01,94.35,44.27,41.98,41.02,0.49,,71.38,4.35,1.42,13.53,16.83,6/23/2026 4:30:00 PM,77.4
Investment Master,ALAB,Technology,346.52,499.45,44.68,233.57,1.58,59.31,0.64,59395960000,305.68,-11.79,93.4,148.21,75.99,26.72,0.03,3.75,18.17,71.48,1.84,12.68,9.04,8/4/2026 4:30:00 PM,77.3
Investment Master,STRL,Industrials,666.01,1005.75,39.57,59.54,0.72,7.08,0.08,20437000000,956.43,43.61,91.59,141.86,22.43,12.02,0.29,1.86,2.42,92.2,1.3,1.19,3.99,5/4/2026 4:30:00 PM,77.0
Investment Master,LITE,Technology,747.0,1085.76,43.34,138.64,0.29,23.36,0.26,58116600000,1125.01,50.6,90.12,332.76,35.36,17.61,1.11,1.49,2.57,99.87,1.48,9.66,12.74,5/5/2026 4:30:00 PM,76.9
Investment Master,WDC,Technology,511.12,799.87,42.39,30.51,0.34,14.96,0.33,176174650000,640.52,25.32,45.47,483.37,45.4,54.28,0.18,2.14,0.94,99.08,1.73,22.38,6.55,4/30/2026 4:30:00 PM,75.7
Investment Master,EXE,Energy,87.5,126.63,42.01,6.52,0.75,1.62,0.04,20932260000,127.15,45.31,40.78,553.24,50.24,25.03,0.26,0.33,0.47,93.71,1.48,7.69,3.23,4/28/2026 4:30:00 PM,75.0
Investment Master,NBIX,Healthcare,171.37,181.17,55.73,26.35,0.45,5.55,0.13,17231410000,198.44,15.8,42.25,2382.36,98.17,21.55,0.12,0.39,1.74,101.83,1.41,5.53,5.6,7/30/2026 4:30:00 PM,73.7
Investment Master,ADSK,Technology,208.31,329.08,49.45,30.44,0.91,5.85,0.3,43953410000,317.64,52.48,19.63,229.12,85.68,19.46,0.85,1.31,0.37,95.0,1.31,8.77,4.17,5/28/2026 4:30:00 PM,73.6
Investment Master,NBIS,Technology,197.49,299.86,41.04,65.89,,56.61,0.09,49698440000,257.79,30.53,621.52,521.4,7.48,95.27,1.31,4.34,19.71,50.4,1.94,61.01,30.2,5/13/2026 8:30:00 AM,72.8
Investment Master,TSM,Technology,419.58,479.03,45.41,34.87,0.59,16.38,0.4,2176143210000,488.83,16.5,40.49,64.6,60.72,46.96,0.19,1.38,0.09,15.18,1.26,27.73,0.54,7/16/2026 8:30:00 AM,72.3
Investment Master,META,Communication Services,677.25,796.3,66.19,24.62,0.99,8.0,0.24,1719147060000,821.6,21.31,33.08,62.49,81.94,32.84,0.36,1.24,13.7,68.45,1.26,34.49,1.57,7/29/2026 4:30:00 PM,72.2
Investment Master,PODD,Healthcare,159.42,354.9,53.26,37.11,0.74,3.81,0.11,11042170000,233.65,46.56,33.87,158.51,71.64,10.44,0.73,1.11,0.43,104.99,1.43,4.85,7.04,8/5/2026 8:30:00 AM,72.2
Investment Master,AVAV,Industrials,141.36,417.85,39.92,,1.55,3.62,0.03,7153760000,227.33,60.82,133.27,112.23,18.93,-13.41,0.19,1.4,25.13,63.11,1.32,4.1,10.82,6/29/2026 4:30:00 PM,72.0
Investment Master,BSX,Healthcare,43.13,109.49,35.73,18.09,1.13,3.11,0.27,64106500000,70.88,64.34,11.58,98.72,65.44,17.29,0.43,0.57,0.5,93.14,1.38,27.94,1.89,7/29/2026 8:30:00 AM,71.4
Investment Master,ICE,Financial,139.75,189.34,56.38,20.35,1.36,6.11,0.26,79031790000,182.4,30.52,23.56,79.47,68.69,30.41,0.71,0.94,0.61,95.56,1.25,10.6,1.89,7/30/2026 8:30:00 AM,71.0
Investment Master,BEAM,Healthcare,31.23,38.26,44.38,,,19.59,0.06,3212920000,50.07,60.33,324.87,26.46,86.36,-39.66,0.22,2.22,9.43,96.62,1.31,22.88,24.56,5/7/2026 8:30:00 AM,71.0
Investment Master,ADMA,Healthcare,8.73,20.44,48.79,12.89,0.31,3.97,,2024530000,17.0,94.73,-0.27,71.73,61.24,32.43,0.52,0.73,2.83,92.04,1.75,24.23,10.76,5/6/2026 4:30:00 PM,70.7
Investment Master,NFLX,Communication Services,73.42,127.75,38.62,23.72,0.88,6.54,0.34,309147140000,112.77,53.6,19.31,85.79,49.44,28.29,0.54,1.52,0.66,83.32,1.64,104.12,2.49,7/16/2026 4:30:00 PM,70.6
Investment Master,ADI,Technology,389.87,445.92,46.59,57.94,0.86,14.91,0.4,189900620000,462.21,18.55,37.25,109.73,58.62,26.01,0.26,1.19,0.28,91.27,1.57,12.03,2.48,5/20/2026 8:30:00 AM,70.4
Investment Master,DELL,Technology,405.54,469.48,50.2,32.23,0.5,1.96,0.02,262903960000,503.62,24.19,87.49,281.26,19.09,6.27,,1.31,53.53,40.23,1.73,12.98,4.31,5/28/2026 4:30:00 PM,70.2
Investment Master,AR,Energy,33.65,45.75,42.5,10.9,0.17,1.81,0.05,10425180000,49.33,46.6,34.1,160.16,25.84,16.69,0.59,0.34,4.58,88.46,1.6,11.84,4.0,4/29/2026 4:30:00 PM,70.0
Investment Master,SSRM,Basic Materials,27.21,36.51,41.85,26.22,0.18,2.98,0.04,5645840000,42.17,54.98,83.75,-290.68,43.52,12.17,0.02,-0.1,1.31,71.49,1.0,8.42,4.11,8/4/2026 4:30:00 PM,70.0
Investment Master,UUUU,Energy,12.66,27.9,33.68,,,37.27,0.33,3162970000,26.53,109.56,112.08,64.53,24.76,-82.7,0.94,1.52,1.62,67.7,1.22,47.13,19.17,5/6/2026 4:30:00 PM,70.0
Investment Master,CNX,Energy,33.46,43.62,50.17,4.65,0.33,2.04,0.07,4733130000,39.08,16.8,28.26,262.79,50.03,50.93,0.55,0.6,4.03,98.2,3.2,16.38,12.07,7/30/2026 8:30:00 AM,69.7
Investment Master,MSFT,Technology,395.58,555.43,53.48,23.56,1.09,9.23,0.5,2938540040000,557.09,40.83,18.3,23.32,68.31,39.34,0.3,1.13,1.53,75.95,1.23,89.06,1.22,7/29/2026 4:30:00 PM,69.5
Investment Master,ESTC,Technology,62.17,96.06,59.0,17.77,0.69,3.72,0.23,6463050000,75.67,21.71,16.03,2754.97,76.07,21.14,0.46,1.0,13.9,87.04,1.94,6.87,7.67,5/28/2026 4:30:00 PM,69.4
Investment Master,HAPN,Financial,20.13,21.67,58.35,13.47,0.19,1.48,0.05,2322010000,24.11,19.77,29.5,337.61,74.25,11.21,0.04,1.91,3.19,89.54,1.0,6.86,6.14,7/27/2026 4:30:00 PM,69.3
Investment Master,PNFP,Financial,100.62,119.86,57.21,13.94,0.51,3.62,0.03,15204370000,117.14,16.42,136.95,-49.79,,14.87,0.41,1.04,1.46,84.9,1.57,6.12,4.11,7/22/2026 4:30:00 PM,69.3
Investment Master,CIEN,Technology,420.39,637.53,39.87,139.93,0.58,10.69,0.27,59508110000,588.75,40.05,39.51,2309.37,40.49,7.87,0.55,1.28,1.14,97.57,1.91,3.85,2.75,6/4/2026 8:30:00 AM,69.0
Investment Master,FIX,Industrials,1738.76,2073.9,44.64,50.19,0.96,6.04,0.11,61208510000,2120.75,21.97,56.47,120.98,24.51,12.07,0.13,1.68,1.23,96.22,1.45,0.75,2.15,4/23/2026 4:30:00 PM,69.0
Investment Master,BE,Industrials,235.55,351.3,41.78,,0.47,27.36,0.21,67000759999,297.04,26.1,130.37,313.73,31.08,0.25,3.2,3.78,6.31,85.85,2.25,19.35,7.26,7/28/2026 4:30:00 PM,68.8
Investment Master,GMED,Healthcare,78.17,101.4,47.28,18.21,1.2,3.42,0.13,10604850000,105.75,35.28,27.04,66.6,64.08,18.92,0.02,0.95,17.15,82.46,1.62,7.41,6.59,5/7/2026 4:30:00 PM,68.7
Investment Master,AVPT,Technology,13.15,19.95,75.65,64.84,1.18,6.28,0.24,2787980000,16.1,22.43,25.98,340.52,73.59,10.51,0.05,1.17,33.48,54.06,1.6,16.1,11.42,5/7/2026 4:30:00 PM,68.3
Investment Master,RRC,Energy,36.05,48.31,40.95,9.52,0.53,2.64,0.1,8494180000,45.91,27.35,25.67,260.69,38.05,28.06,0.21,0.43,1.53,95.78,2.56,20.69,8.92,7/21/2026 4:30:00 PM,68.3
Investment Master,SMCI,Technology,27.05,62.37,40.56,14.27,0.4,0.52,0.0,17494680000,36.0,33.09,122.68,314.07,8.39,3.7,1.21,1.94,13.88,63.23,3.0,103.19,18.52,5/5/2026 4:30:00 PM,68.2
Investment Master,GOOGL,Communication Services,370.23,408.6,56.48,28.24,1.5,10.62,0.48,4494929070000,436.23,17.83,22.34,81.96,60.43,37.86,0.2,1.24,51.99,39.37,1.39,85.86,1.47,7/22/2026 4:30:00 PM,67.6
Investment Master,HPE,Technology,47.38,64.24,54.57,44.56,0.38,1.61,0.04,62747380000,68.59,44.77,40.64,153.39,31.38,3.7,0.84,1.44,0.43,93.75,2.0,67.77,5.14,6/1/2026 4:30:00 PM,67.5
Investment Master,GOOG,Communication Services,369.19,404.46,57.16,28.16,1.5,10.66,0.48,4509709320000,436.05,18.11,22.34,81.96,60.43,37.86,0.2,1.23,58.3,27.65,1.39,58.49,1.15,7/22/2026 4:30:00 PM,67.4
Investment Master,TRMB,Technology,51.87,87.5,45.48,27.21,0.83,3.28,0.28,12091750000,82.25,58.57,11.81,54.12,66.6,12.37,0.25,1.38,0.46,98.46,1.44,11.02,4.75,5/6/2026 8:30:00 AM,67.2
Investment Master,STX,Technology,816.75,1145.03,42.88,77.53,0.37,16.63,0.38,183139020000,1015.59,24.35,44.07,107.51,41.54,21.6,3.82,2.08,0.27,85.96,1.57,6.58,2.94,7/28/2026 4:30:00 PM,67.1
Investment Master,ORCL,Technology,132.11,345.75,30.03,22.68,0.46,5.65,0.27,380539020000,254.84,92.9,20.63,21.36,63.34,25.21,3.94,1.71,40.54,44.46,1.51,41.97,2.45,6/10/2026 4:30:00 PM,66.9
Investment Master,CGNX,Technology,63.12,72.88,45.48,74.69,1.21,10.04,0.41,10504400000,77.6,22.94,24.26,121.73,68.02,13.62,0.05,1.49,0.37,102.91,1.8,8.08,4.88,5/6/2026 4:30:00 PM,66.8
Investment Master,FSLR,Technology,223.99,320.95,39.83,14.47,0.34,4.44,0.19,24068130000,259.79,15.98,23.64,65.1,41.73,30.73,0.06,1.74,5.47,93.82,2.0,8.22,8.1,4/30/2026 4:30:00 PM,66.8
Investment Master,INTU,Technology,280.14,813.65,47.13,16.96,0.67,3.66,0.35,76629390000,463.1,65.31,10.37,11.01,77.64,21.91,0.33,0.99,2.18,90.31,1.71,14.57,5.45,5/20/2026 4:30:00 PM,66.8
Investment Master,SOFI,Financial,17.94,32.72,51.67,40.7,0.58,4.48,0.13,23018790000,20.42,13.82,35.83,101.0,61.74,11.22,0.18,2.17,1.82,56.49,2.77,188.1,14.94,7/29/2026 8:30:00 AM,66.7
Investment Master,ABCL,Healthcare,6.78,8.45,52.74,,,26.12,0.27,2068920000,10.5,54.87,96.34,7.05,61.02,-181.75,0.15,1.18,23.04,41.57,1.0,48.56,20.66,8/5/2026 4:30:00 PM,66.7
Investment Master,BAM,Financial,49.24,64.1,62.91,31.7,1.42,15.5,0.65,78625940000,56.93,15.62,23.77,6.87,95.07,49.68,0.5,1.26,79.84,21.5,2.15,18.84,5.85,8/5/2026 8:30:00 AM,66.6
Investment Master,DXCM,Healthcare,72.94,89.98,52.67,31.2,1.13,5.84,0.39,28145570000,85.71,17.51,15.05,92.21,62.64,19.31,0.47,1.43,1.75,98.3,1.39,18.11,4.78,7/30/2026 4:30:00 PM,66.4
Investment Master,MOD,Consumer Cyclical,230.34,323.24,38.84,102.9,0.43,3.85,0.08,12232630000,351.75,52.71,47.47,47.51,23.19,3.82,0.49,1.69,2.18,105.6,1.0,2.36,4.54,5/26/2026 4:30:00 PM,66.4
Investment Master,VRT,Industrials,302.34,379.92,45.94,75.9,0.87,10.71,0.36,116131810000,381.83,26.29,30.13,135.9,35.0,14.37,0.77,2.04,0.39,85.85,1.61,14.48,3.78,4/22/2026 8:30:00 AM,66.1
