Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Earnings Date,Investment Score
Investment Master,MU,Technology,978.69,1255.05,51.58,22.16,0.04,12.24,0.04,1105325710000,1568.74,60.29,345.72,1372.09,72.6,55.91,0.06,2.2,0.44,79.17,1.31,31.67,2.82,6/24/2026 4:30:00 PM,92.4
Investment Master,CDE,Basic Materials,15.27,27.77,44.18,12.62,0.25,6.13,0.04,15736050000,25.86,69.35,137.76,451.88,43.69,31.16,0.07,1.33,0.59,77.22,1.25,51.66,5.04,8/5/2026 4:30:00 PM,87.5
Investment Master,CRDO,Technology,222.65,308.68,46.01,89.79,0.52,31.1,0.2,41519300000,290.14,30.31,157.02,336.83,68.01,35.37,0.01,3.24,9.94,74.46,1.14,5.33,3.18,6/1/2026 4:30:00 PM,87.5
Investment Master,NVDA,Technology,206.49,236.53,51.56,31.62,0.34,19.71,0.23,4997178880000,313.74,51.94,85.23,213.42,74.15,62.97,0.07,2.22,3.85,70.44,1.23,310.13,1.33,5/20/2026 4:30:00 PM,87.1
Investment Master,ONDS,Technology,7.62,15.27,46.68,38.09,,44.98,0.04,4345020000,19.81,159.97,1079.85,496.37,31.18,140.68,0.02,2.73,8.25,36.16,1.0,197.58,37.79,5/14/2026 8:30:00 AM,85.9
Investment Master,PLTR,Technology,133.17,207.53,53.49,150.03,1.07,61.11,0.72,319250080000,190.08,42.73,84.71,304.06,84.07,43.67,0.03,1.57,8.5,57.97,1.94,87.26,3.98,8/3/2026 4:30:00 PM,85.7
Investment Master,IONQ,Technology,35.62,84.65,29.42,,,71.05,0.09,13294010000,71.32,100.22,754.72,1570.07,-28.8,164.87,0.01,3.3,1.66,55.52,1.64,44.03,12.0,5/6/2026 4:30:00 PM,84.7
Investment Master,AU,Basic Materials,78.22,129.14,42.44,11.47,0.34,3.54,0.05,39501690000,120.33,53.84,64.85,188.38,56.04,31.11,0.27,0.68,0.22,65.46,1.67,6.25,1.24,5/8/2026 8:30:00 AM,81.9
Investment Master,RDDT,Communication Services,185.04,282.94,50.95,52.47,0.59,14.4,0.21,35622830000,230.23,24.42,69.08,609.3,90.72,28.6,0.01,1.93,28.78,65.68,1.77,17.0,12.4,7/30/2026 4:30:00 PM,81.0
Investment Master,TER,Technology,378.4,487.88,50.98,70.04,0.67,15.65,0.18,59235410000,437.53,15.63,86.84,314.51,58.52,22.56,0.03,1.8,0.68,95.32,1.86,9.13,5.87,7/28/2026 4:30:00 PM,79.1
Investment Master,HL,Basic Materials,15.35,34.18,48.3,22.06,0.41,6.55,0.12,10292080000,24.08,56.87,56.55,466.67,48.39,29.65,0.11,1.32,11.32,73.41,1.91,41.99,7.06,5/5/2026 4:30:00 PM,78.5
