Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Graham Undervalued,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Investment Score
Investment Master,IRWD,Healthcare,3.54,5.78,47.05,5.93,0.03,1.61,0.01,582730000,6.9,,94.92,158.87,205.34,99.49,28.26,,0.24,3.82,98.53,1.67,15.02,9.48,94.3
Investment Master,FIEE,Technology,4.05,7.95,31.26,39.09,,4.15,0.0,34540000,8.75,False,116.05,1697491.2,123.73,81.98,15.7,0.0,4.8,97.22,0.0,1.0,0.01,3.66,92.4
Investment Master,PLX,Healthcare,2.22,3.19,62.9,12.11,,2.34,0.01,178870000,11.0,False,395.5,233.73,567.37,69.97,20.07,0.13,0.03,3.88,22.04,1.0,3.94,5.08,91.3
Investment Master,VOXR,Basic Materials,5.08,6.7,41.89,11.72,,11.68,0.02,350020000,7.7,False,51.57,498.34,4932.39,65.32,102.5,0.0,0.47,12.42,79.5,1.0,1.23,2.04,91.1
Investment Master,MRP,Real Estate,28.4,36.0,48.92,10.18,,6.15,0.05,4380080000,37.17,True,30.88,135.71,89.67,,64.96,0.42,0.32,8.23,84.11,1.0,5.24,3.44,90.2
Investment Master,SSSS,Financial,13.21,14.98,45.46,1.93,,9.55,0.04,344390000,16.35,True,23.77,248.72,15188.6,100.0,569.42,0.19,1.4,8.12,20.63,1.0,0.2,0.85,90.1
Investment Master,ORLA,Basic Materials,10.38,21.98,37.98,15.67,0.16,2.77,0.02,3587020000,22.88,False,120.42,169.34,187.12,51.58,19.45,0.42,0.27,11.77,68.56,1.0,3.81,1.25,89.5
Investment Master,ASM,Basic Materials,6.54,11.99,48.55,29.22,0.31,9.99,0.06,1113110000,11.31,False,72.94,166.44,118.1,53.48,33.16,0.03,1.72,6.86,28.27,1.5,4.8,3.03,89.3
Investment Master,WPM,Basic Materials,122.57,165.77,47.67,30.98,0.9,20.27,0.22,55661490000,181.21,False,47.84,91.63,128.9,74.68,65.55,0.0,0.53,0.12,66.09,1.06,3.38,0.75,89.2
Investment Master,FATN,Technology,5.29,10.9,48.87,14.89,,3.86,0.04,74190000,8.8,False,66.35,90.43,1199.22,76.41,25.87,0.23,3.0,54.88,2.63,1.0,0.09,1.4,89.1
Investment Master,RGLD,Basic Materials,214.82,306.23,46.0,25.56,0.67,13.96,0.1,18231040000,326.67,False,52.07,142.52,91.68,68.47,48.53,0.08,0.43,0.27,83.53,1.57,2.39,2.82,88.9
Investment Master,OR,Basic Materials,34.86,48.06,46.91,25.96,0.76,20.09,0.23,6536250000,50.55,False,45.01,87.25,186.55,84.39,78.09,0.0,0.72,0.41,85.22,1.82,2.4,1.29,88.5
Investment Master,EQX,Basic Materials,10.51,18.96,39.22,16.03,0.21,2.92,0.03,8293549999,21.18,True,101.52,103.34,249.52,41.91,18.0,0.1,1.25,4.48,65.68,1.0,23.77,3.15,88.3
Investment Master,ABUS,Healthcare,4.55,5.1,59.24,5.53,,4.69,0.0,898800000,5.5,True,20.88,10054.54,775.97,99.98,83.95,0.02,0.63,20.46,66.66,1.0,16.98,10.81,88.0
Investment Master,ARIS,Basic Materials,16.62,23.29,47.34,20.01,0.1,3.0,0.02,3430370000,31.13,False,87.3,136.45,3307.3,50.36,15.19,0.35,0.65,3.22,75.12,1.0,4.17,2.09,87.5
Investment Master,SII,Financial,122.27,169.63,44.87,37.3,0.68,8.06,0.04,3153340000,158.75,False,29.84,229.46,144.65,92.29,21.63,0.0,0.77,16.66,68.11,1.4,0.37,1.74,87.5
Investment Master,ZVRA,Healthcare,12.9,14.27,61.85,5.99,1.39,6.24,0.08,762580000,27.89,True,116.2,77.54,1152.36,83.89,100.02,0.01,0.87,1.3,70.47,1.0,5.96,10.22,87.4
